date,ticker,dividend_per_share,source,subject
2020-08-06,BHARTIARTL,2,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 2 per share
2021-08-17,INDUSINDBK,5,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 5 per share
2022-08-01,BHARTIARTL,3,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 3 per share
2022-08-11,INDUSINDBK,8.5,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 8.5 per share
2023-06-02,INDUSINDBK,14,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 14 per share
2023-08-10,BHARTIARTL,4,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 4 per share
2024-06-28,INDUSINDBK,16.5,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 16.5 per share
2024-08-06,BHARTIARTL,8,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 8 per share
2025-07-17,BHARTIARTL,16,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 16 per share
2026-06-25,INDUSINDBK,1.5,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 1.5 per share
