ticker,recorded_events,raw_largest_one_day_drop_date,raw_largest_one_day_drop_pct,adjusted_largest_one_day_drop_date,adjusted_largest_one_day_drop_pct,scope
RELIANCE,2020-05-13 RIGHTS; 2023-07-19 EXPIRY_RESET; 2023-07-20 SPIN_OFF; 2024-10-28 BONUS,2024-10-28,49.76,2020-03-23,13.15,Large price-discontinuity screen; smaller non-cash actions may remain
SBIN,,2024-06-04,14.4,2024-06-04,14.4,Large price-discontinuity screen; smaller non-cash actions may remain
INDUSINDBK,,2025-03-11,27.16,2025-03-11,27.16,Large price-discontinuity screen; smaller non-cash actions may remain
ICICIBANK,,2020-03-23,17.85,2020-03-23,17.85,Large price-discontinuity screen; smaller non-cash actions may remain
INFY,,2020-03-23,10.04,2020-03-23,10.04,Large price-discontinuity screen; smaller non-cash actions may remain
AXISBANK,,2020-03-23,27.91,2020-03-23,27.91,Large price-discontinuity screen; smaller non-cash actions may remain
BHARTIARTL,2021-09-27 RIGHTS,2020-03-23,11.95,2020-03-23,11.95,Large price-discontinuity screen; smaller non-cash actions may remain
BAJFINANCE,2025-06-16 SPLIT_BONUS,2025-06-16,89.95,2020-03-23,23.23,Large price-discontinuity screen; smaller non-cash actions may remain
TCS,,2020-03-12,9.41,2020-03-12,9.41,Large price-discontinuity screen; smaller non-cash actions may remain
KOTAKBANK,2026-01-14 SPLIT,2026-01-14,80.26,2020-03-23,13.0,Large price-discontinuity screen; smaller non-cash actions may remain
ADANIENT,2025-11-17 RIGHTS,2023-02-01,28.2,2023-02-01,28.2,Large price-discontinuity screen; smaller non-cash actions may remain
