date,total_return_index
2020-01-01,17096.83
2020-01-02,17236.7
2020-01-03,17158.75
2020-01-06,16830.93
2020-01-07,16915.03
2020-01-08,16876.24
2020-01-09,17143.65
2020-01-10,17201.08
2020-01-13,17303.2
2020-01-14,17349.12
2020-01-15,17322.5
2020-01-16,17339.57
2020-01-17,17335.2
2020-01-20,17155.83
2020-01-21,17079.07
2020-01-22,16990.68
2020-01-23,17095.61
2020-01-24,17192.15
2020-01-27,17010.7
2020-01-28,16922.01
2020-01-29,17025.46
2020-01-30,16893.91
2020-01-31,16790.45
2020-02-01,16369.0
2020-02-03,16433.65
2020-02-04,16815.12
2020-02-05,16968.83
2020-02-06,17037.28
2020-02-07,16981.75
2020-02-10,16887.86
2020-02-11,16995.1
2020-02-12,17126.07
2020-02-13,17088.84
2020-02-14,17002.89
2020-02-17,16911.92
2020-02-18,16837.08
2020-02-19,17024.41
2020-02-20,16961.16
2020-02-24,16608.12
2020-02-25,16563.91
2020-02-26,16396.23
2020-02-27,16332.81
2020-02-28,15726.92
2020-03-02,15632.14
2020-03-03,15878.98
2020-03-04,15805.53
2020-03-05,15833.21
2020-03-06,15440.48
2020-03-09,14684.56
2020-03-11,14694.31
2020-03-12,13474.38
2020-03-13,13987.31
2020-03-16,12928.18
2020-03-17,12604.41
2020-03-18,11904.02
2020-03-19,11620.92
2020-03-20,12298.74
2020-03-23,10710.41
2020-03-24,10983.15
2020-03-25,11710.71
2020-03-26,12167.15
2020-03-27,12193.62
2020-03-30,11659.76
2020-03-31,12105.66
2020-04-01,11621.35
2020-04-03,11382.02
2020-04-07,12379.42
2020-04-08,12318.25
2020-04-09,12829.57
2020-04-13,12663.31
2020-04-15,12566.85
2020-04-16,12661.83
2020-04-17,13047.57
2020-04-20,13040.65
2020-04-21,12645.91
2020-04-22,12935.73
2020-04-23,13113.97
2020-04-24,12889.39
2020-04-27,13069.49
2020-04-28,13208.29
2020-04-29,13452.51
2020-04-30,13884.18
2020-05-04,13086.63
2020-05-05,12963.99
2020-05-06,13055.99
2020-05-07,12954.81
2020-05-08,13028.62
2020-05-11,13011.35
2020-05-12,12951.29
2020-05-13,13214.58
2020-05-14,12875.51
2020-05-15,12867.16
2020-05-18,12425.57
2020-05-19,12504.22
2020-05-20,12768.2
2020-05-21,12824.12
2020-05-22,12729.74
2020-05-26,12715.39
2020-05-27,13117.99
2020-05-28,13364.65
2020-05-29,13503.45
2020-06-01,13850.0
2020-06-02,14065.56
2020-06-03,14183.95
2020-06-04,14138.19
2020-06-05,14297.55
2020-06-08,14333.2
2020-06-09,14162.9
2020-06-10,14260.91
2020-06-11,13959.73
2020-06-12,14059.69
2020-06-15,13835.27
2020-06-16,13976.63
2020-06-17,13930.35
2020-06-18,14227.14
2020-06-19,14445.87
2020-06-22,14540.07
2020-06-23,14765.36
2020-06-24,14531.72
2020-06-25,14508.61
2020-06-26,14641.26
2020-06-29,14541.76
2020-06-30,14527.18
2020-07-01,14707.64
2020-07-02,14886.06
2020-07-03,14964.59
2020-07-06,15185.78
2020-07-07,15236.58
2020-07-08,15104.09
2020-07-09,15268.19
2020-07-10,15204.13
2020-07-13,15254.09
2020-07-14,14978.23
2020-07-15,14993.52
2020-07-16,15167.99
2020-07-17,15396.44
2020-07-20,15566.56
2020-07-21,15764.41
2020-07-22,15722.51
2020-07-23,15841.48
2020-07-24,15811.4
2020-07-27,15723.39
2020-07-28,15961.7
2020-07-29,15824.19
2020-07-30,15685.92
2020-07-31,15645.34
2020-08-03,15388.98
2020-08-04,15676.74
2020-08-05,15689.69
2020-08-06,15833.02
2020-08-07,15852.65
2020-08-10,15931.97
2020-08-11,16005.99
2020-08-12,15986.03
2020-08-13,15981.73
2020-08-14,15809.17
2020-08-17,15906.29
2020-08-18,16101.86
2020-08-19,16135.89
2020-08-20,15999.86
2020-08-21,16083.84
2020-08-24,16218.02
2020-08-25,16226.2
2020-08-26,16339.41
2020-08-27,16353.08
2020-08-28,16478.01
2020-08-31,16110.07
2020-09-01,16227.14
2020-09-02,16322.17
2020-09-03,16311.99
2020-09-04,16038.07
2020-09-07,16068.06
2020-09-08,16014.67
2020-09-09,15958.99
2020-09-10,16201.44
2020-09-11,16222.92
2020-09-14,16189.14
