date,NIFTY,RELIANCE,SBIN,INDUSINDBK,ICICIBANK,INFY,AXISBANK,BHARTIARTL,BAJFINANCE,TCS,KOTAKBANK,ADANIENT
2020-01-01,12182.5,1509.6,334.45,1484.3,536.75,736.85,748.7,453.3,4231.3,2167.6,1674.05,207.85
2020-01-02,12282.2,1535.3,339.3,1529,540.6,734.7,756.95,455.2,4246.05,2157.65,1671.55,211.2
2020-01-03,12226.65,1537.15,333.7,1528.85,538.85,746,742.95,455.1,4193.45,2200.65,1657.1,208.3
2020-01-06,11993.05,1501.5,319,1469.4,525.7,738.85,723.25,449.65,3996.7,2200.45,1652.55,199.55
2020-01-07,12052.95,1524.6,318.4,1461.65,522.9,727.9,725.75,445.1,4007.65,2205.85,1670.85,204.05
2020-01-08,12025.35,1513.15,319.8,1458.6,525.95,718.2,724.5,458.85,4049.95,2255.25,1654.85,201.5
2020-01-09,12215.9,1548,330.2,1507.65,546.3,727.55,742.85,460.1,4124.2,2214.35,1665.05,208
2020-01-10,12256.8,1547.65,332.25,1491.25,540.25,738.15,740.05,457,4144.85,2213.55,1684.7,209.1
2020-01-13,12329.55,1543.7,330.75,1539.65,538.6,773.55,737.4,468.9,4164.5,2190.35,1691.1,213.6
2020-01-14,12362.3,1529.4,328,1481.65,537.6,775.65,747.9,469.35,4193,2206.9,1676.8,214.35
2020-01-15,12343.3,1523.85,324.25,1400.5,535.6,767.55,746.3,467.85,4207.25,2226.9,1675.6,216.6
2020-01-16,12355.5,1537.9,323.3,1386.45,537.15,767,737.3,473.9,4220.25,2238.8,1701.55,220
2020-01-17,12352.35,1581,318,1352.25,532.05,767.85,739.9,500.05,4231.75,2219.1,1698.1,228.4
2020-01-20,12224.55,1532.35,314,1331.95,534.85,768.45,727.2,508.7,4152.6,2170.35,1617.9,226.55
2020-01-21,12169.85,1533.9,313.7,1336.35,531.05,762.5,717.6,511.75,4138.6,2171.05,1625.1,224.25
2020-01-22,12106.9,1533.35,316.15,1327.4,522.85,770.2,712.6,514.5,4142.2,2206.9,1585.5,225.9
2020-01-23,12180.35,1526.85,323.2,1331.8,527.7,784.35,723,523.65,4125.8,2190.95,1605.85,229.6
2020-01-24,12248.25,1521.55,324.05,1316.1,533.85,782.75,737.4,524.25,4194.5,2183.4,1642.95,229.75
2020-01-27,12119.0,1506.55,316.2,1271.2,537.25,778.1,740.25,514.4,4164.35,2169.25,1618.35,230.55
2020-01-28,12055.8,1471.75,315.1,1254.75,528.2,778,737.15,491.25,4213,2183.75,1626.05,229.9
2020-01-29,12129.5,1479.85,316.45,1258.25,526.6,789.7,735.25,490.25,4419,2154.6,1640.45,232.3
2020-01-30,12035.8,1443.75,310.7,1231.5,532.2,780.7,730.9,489.8,4364.3,2137.85,1628.25,231.5
2020-01-31,11962.1,1411.65,318.45,1258.85,525.65,775.95,729.3,496.45,4365.9,2079.05,1691.75,229.45
2020-02-03,11707.9,1385.5,298.1,1263.1,515.55,767.4,708.95,510.05,4359.35,2102.5,1676.25,220.9
2020-02-04,11979.65,1426.4,306.25,1272.65,530.8,787.85,715,518.9,4519.25,2107.75,1698.3,225.45
2020-02-05,12089.15,1448.5,311,1272.8,539.1,784.55,724.05,533.35,4528.2,2146.55,1689.75,236.25
2020-02-06,12137.95,1457.8,321.95,1334.25,541.6,771.35,736.95,546.8,4666.35,2128.35,1674,236.5
2020-02-07,12098.35,1433.65,320.55,1298.8,536.45,777.3,748.15,539.45,4654.3,2136.55,1653.05,239.5
2020-02-10,12031.5,1435.6,318.5,1274.95,533.95,773.2,741.1,538.7,4721.75,2161.95,1669.3,244.5
2020-02-11,12107.9,1452.75,324.35,1292.65,539.75,773.55,749.95,534.3,4749.35,2153.4,1677.45,245.3
2020-02-12,12201.2,1470.3,320.2,1277.4,549.3,781.05,755.25,539.6,4768.7,2170.75,1714.9,249.7
2020-02-13,12174.65,1474.15,327.45,1230.75,541,792.25,747.8,539.95,4795.35,2191.95,1689.8,251.45
2020-02-14,12113.45,1487.6,319.4,1176,545.8,786.45,736.5,565,4781.75,2184.2,1680.95,256.15
2020-02-17,12045.8,1478.25,314.2,1172.95,541.6,789.45,738.4,564.85,4776.65,2203.25,1691.1,252.5
2020-02-18,11992.5,1467.4,317.55,1140.7,541.2,797.65,733.65,548.25,4758,2215.75,1691,249.45
2020-02-19,12125.9,1503.8,320.35,1142.15,544.8,800.45,741.05,543.4,4878.05,2196.35,1701.1,254
2020-02-20,12080.85,1485.95,327.65,1182.2,547,797,744.3,545.6,4880.45,2156.8,1685.95,258.65
2020-02-24,11829.4,1444.95,322.95,1170.25,529.85,795.85,725.45,529.9,4803.95,2115.35,1678.25,247.25
2020-02-25,11797.9,1416.4,326.8,1153.85,530.95,798.4,728.75,535.25,4825.95,2156.15,1675.8,246.45
2020-02-26,11678.5,1392,328.2,1135,523.7,782.75,729.4,535.95,4810,2123.6,1666.5,242.8
2020-02-27,11633.3,1386.25,321.95,1115.55,515.35,777.85,735.85,531.65,4759.8,2105.5,1682.75,234.15
2020-02-28,11201.75,1328.65,303,1104.05,497.25,731.7,697.3,523.5,4465.85,2000.15,1620.35,218.65
2020-03-02,11132.75,1316.15,287.4,1079.25,506.1,741.05,684.2,518.35,4360.75,2001.3,1599,218.6
2020-03-03,11303.3,1342.85,289.85,1108.05,514.75,747,687.15,520.8,4454.1,2036.2,1626.3,225.75
2020-03-04,11251.0,1339.7,285.3,1065.95,508.35,758.75,682.2,516.75,4286.4,2083.2,1607.95,221.1
2020-03-05,11269.0,1311.15,288.5,1075,504.5,754.6,677.9,526.9,4330.7,2125.05,1651.35,221.75
2020-03-06,10989.45,1271,270.5,1014.8,486.35,738.95,657.65,519.15,4225.85,2116.45,1631.05,214.75
2020-03-09,10451.45,1114.15,253.45,903.1,457.75,704.45,623.55,496.25,4026.8,1972.35,1578.15,199.7
2020-03-11,10458.4,1153.55,245.1,853.55,465.65,686,619.35,493.8,4030.65,1953.7,1589.3,195.75
2020-03-12,9590.15,1063,212.6,784.65,425.65,631.2,543.25,464.95,3734.35,1769.85,1465.05,162.15
2020-03-13,9955.2,1105.3,242,803.75,447.2,642.35,568.8,491.85,3952.55,1806.3,1470.05,148.75
2020-03-16,9197.4,1015.7,223.35,664.15,402.9,583.15,508.6,464.8,3672.25,1696.4,1383.7,134.7
2020-03-17,8967.05,1008,215.15,604.15,367.25,554.95,488.35,454.7,3444.85,1658,1322.7,133.4
2020-03-18,8468.8,968.5,215.2,460.8,355.05,534.3,473.45,425.55,3061.35,1654.4,1171.95,130.2
2020-03-19,8263.45,917.7,203.65,444.05,338.55,545.55,428.25,444.75,2746.1,1636.35,1210.85,128.9
2020-03-20,8745.45,1017.95,209.85,440.35,345.7,585.2,428.15,462.65,2951.9,1797.45,1262.35,137.7
2020-03-23,7610.25,884.05,181.6,336.45,284,526.45,308.65,407.35,2266.15,1669.7,1098.25,120.9
2020-03-24,7801.05,943.4,183.2,312.35,296.5,589.8,303.15,404.05,2474.2,1703.15,1152.9,130.35
2020-03-25,8317.85,1082.25,189.9,301.3,316.9,606.2,326.8,429.1,2585.6,1750.3,1290.15,132.3
2020-03-26,8641.45,1066.2,192.75,435.9,330.25,643,341.4,470.7,2793.7,1790.95,1372.95,140.25
2020-03-27,8660.25,1065.6,195.95,411.1,339.85,652.7,359.75,448.95,2542.3,1824.5,1399.1,128
2020-03-30,8281.1,1030.45,186.9,413.4,313.4,626.7,368.15,431.05,2242.1,1778.5,1293.7,128.7
2020-03-31,8597.75,1113.75,196.85,351.3,323.75,641.5,379,440.9,2215.8,1826.1,1296.05,137.6
2020-04-01,8253.8,1080.45,186.55,342.25,311.15,602.8,358.65,421.35,2219.35,1708.75,1181.65,133.95
2020-04-03,8083.8,1077.45,175.5,313.2,286.65,585.7,325.45,423.95,2207.5,1654.2,1140.85,129.05
2020-04-07,8792.2,1206.1,186.4,383.85,326.1,639,388.85,470.2,2253.35,1775.2,1198.05,138.15
2020-04-08,8748.75,1192.15,183,399.15,318.95,631.6,391.35,461.65,2332.9,1705.45,1187.65,138.1
2020-04-09,9111.9,1219.95,187.75,395.4,342.7,636.25,420.15,488.7,2551.85,1766.15,1272.9,142.45
2020-04-13,8993.85,1189.15,183.5,410.4,330.65,637.4,418.95,512.2,2287.3,1759.25,1250.9,146
2020-04-15,8925.3,1149.85,182.35,424.1,327.35,639.05,417.3,510.5,2182.45,1735.15,1173.75,145.25
2020-04-16,8992.8,1168.05,188.5,435.4,342,623.85,422.55,500.45,2220,1716.05,1130.85,143.3
2020-04-17,9266.75,1224,193.25,474.45,375.55,628.75,478.8,502.45,2308.15,1806.2,1186.25,143.9
2020-04-20,9261.85,1243.8,192.5,456.7,361.3,653.3,455.95,490.3,2308.25,1818.65,1177.75,146.7
2020-04-21,8981.45,1237.35,184.75,400.85,331.85,633.2,420.65,500.5,2099.75,1737.65,1130.15,135.95
2020-04-22,9187.3,1363.6,188.7,415.9,335.95,641.85,431.15,501.4,2148.25,1769.5,1152.15,137.6
2020-04-23,9313.9,1370.9,186.7,409.95,352.95,679.3,430.05,496,2172.45,1878.25,1249.65,140.5
2020-04-24,9154.4,1417,179.75,382.9,334.85,658,403.95,494.25,1976.25,1818.55,1239.55,134.65
2020-04-27,9282.3,1429.75,180.9,407.4,347.9,664.6,427.3,494.05,2044.05,1836.6,1303.6,134.6
2020-04-28,9380.9,1428.15,184.3,468.05,359.85,660.7,455.45,485.65,2228.1,1859.05,1326.65,139.3
2020-04-29,9553.35,1426.95,190.1,471.1,370.45,676.55,439.1,496,2296.45,1905.65,1327.85,139.5
2020-04-30,9859.9,1466,190.5,468.15,380.15,715.5,444.9,514.3,2318.1,2014.45,1357.2,141.4
2020-05-04,9293.5,1435.2,178.85,423.05,338.05,673.7,402.8,532.5,2079.65,1930.45,1277.8,131.55
2020-05-05,9205.6,1460.65,170.4,418.7,330.85,673.7,389,528.05,2002.35,1932.75,1238.35,132.7
2020-05-06,9270.9,1460.75,171.1,425.5,341.4,665.9,388.85,546,2106.25,1903.6,1245.95,133.25
2020-05-07,9199.05,1506.95,170.75,454.35,336.75,664.95,397.35,528.05,2060.55,1891.65,1199.8,134.9
2020-05-08,9251.5,1561.8,166.65,440.35,337.7,674.2,382.05,530.05,2024.15,1893.4,1217.45,137.15
2020-05-11,9239.2,1576.8,165.45,433.4,320.15,682.9,379.55,536.2,2015.05,1935.3,1188.45,140.05
2020-05-12,9196.55,1479.25,166.9,446.2,321.2,687.65,386.85,559.85,2069.7,1949.5,1157.2,139.9
2020-05-13,9383.55,1496.45,174.1,448.6,338.05,694.15,414,555.95,2161.05,1949.65,1186.7,141.15
2020-05-14,9142.75,1435.95,167.95,428,327.4,658.15,401.95,539.85,2112,1902.35,1173.1,140.9
2020-05-15,9136.85,1459.4,166.4,418.7,322.7,652.3,388.55,554.1,2086.45,1892.9,1178.3,141.05
2020-05-18,8823.25,1440.75,155.3,376.75,298.5,663.9,358.8,538.05,1938.6,1945.6,1113.65,135.9
2020-05-19,8879.1,1408.9,152.8,367.8,300.3,668.6,354.5,598.8,1964.95,1948.65,1130.45,139.7
2020-05-20,9066.55,1433.7,153.4,357.3,305.65,669.55,362.5,594.05,2042.8,1953.6,1160.1,141.35
2020-05-21,9106.25,1441.25,151.95,346.8,304.4,672.2,357.2,594.55,1990.2,1991.2,1150.25,138.3
2020-05-22,9039.25,1431.55,150.85,338.35,291.05,692.35,336.95,593.2,1895.3,2020.35,1160.2,138.1
2020-05-26,9029.05,1424.05,151.4,348.2,292.7,680.55,341.3,559.25,1829,1943,1153.2,139.5
2020-05-27,9314.95,1445.55,158.6,368.95,318.85,705.45,387,563.1,1936.45,2005.3,1217.55,141
2020-05-28,9490.1,1472.25,158.2,386.85,326.85,707.4,390.95,562.75,1947.7,2004.3,1229.45,142.65
2020-05-29,9580.3,1464.4,161.3,393.65,331.95,691,384.95,552.6,1953.65,1972.35,1224,148.35
2020-06-01,9826.15,1520.35,170.05,410.1,339.25,699.55,396.95,559.05,2160.85,2045.25,1248.4,150.5
2020-06-02,9979.1,1535.7,170.25,434.7,348.4,708.1,410.1,558.1,2346.2,2047.15,1342.9,149.95
2020-06-03,10061.55,1541.65,174.9,432.35,356.85,701.55,409.55,551.65,2411.9,2046.15,1386.55,150.65
2020-06-04,10029.1,1579.8,174.05,415.05,347.85,707.75,394.35,572.45,2313.05,2091.55,1334.4,148
2020-06-05,10142.15,1581.7,187.8,422.35,357.2,703.55,405.3,584.35,2390.35,2048.25,1337.8,152.45
2020-06-08,10167.45,1569.5,186.8,451.6,359.8,720.85,430.25,585.15,2507.25,2071.75,1336.75,152.65
2020-06-09,10046.65,1537.15,184.45,463.9,348.55,717.6,420.05,567.8,2443.6,2072.05,1304.15,151.9
2020-06-10,10116.15,1572.15,187.7,499.6,353,715.85,427.45,567.1,2435.65,2108.75,1332.25,151.85
2020-06-11,9902.0,1537.7,177.15,523.15,341.25,703.95,413.45,551.85,2338.9,2067.65,1298.7,151.8
2020-06-12,9972.9,1588.8,179.15,528.45,344.2,692.05,408,560.1,2450.15,2039.5,1279.8,152.3
2020-06-15,9813.7,1614.55,173.7,490.55,331.1,687.55,389.6,550.7,2351.4,2029.9,1248.9,149.25
2020-06-16,9914.0,1617.7,172.9,481.8,342.95,701.2,381.55,544.9,2365,2045.8,1276.8,146.2
2020-06-17,9881.15,1615.35,172.95,491.15,341.95,703.65,389.6,563.45,2396,2047.8,1243.8,147.15
2020-06-18,10091.65,1655.9,179.65,499.2,352,713.9,405.4,560.9,2525.95,2038.1,1303.35,147.85
2020-06-19,10244.4,1759.4,184.5,483.65,363.8,705.55,417.05,572.5,2698.6,2044.6,1302.5,152.7
2020-06-22,10311.2,1746.15,187.7,489.9,367.55,703.7,430.15,581.05,2840.3,2027.95,1355.35,154.65
2020-06-23,10471.0,1720.9,192.45,520.4,376.15,720.65,443.65,578.8,3025.5,2035.3,1389.9,157.2
2020-06-24,10305.3,1727.85,184.6,481.7,348.1,714.15,424.65,557.35,2934.45,2042.2,1343.9,154.8
2020-06-25,10288.9,1717.9,185.25,475.15,351,700.5,421.7,559,3005.35,2016.1,1381.7,161.65
2020-06-26,10383.0,1741.65,184.6,492.55,349.1,748.2,424.85,560.4,2903.5,2118.85,1340.1,162.15
2020-06-29,10312.4,1723.15,179.25,480,343.1,731.75,404.8,567.1,2857.95,2101.65,1355.65,159.75
2020-06-30,10302.1,1704.1,178.45,474.8,351.45,735.95,406.65,559.85,2831,2082.15,1360.45,156.25
2020-07-01,10430.05,1737.6,184.8,492.45,364.05,731.9,433.25,560.15,2953.9,2092.05,1356.75,157.65
2020-07-02,10551.7,1760.35,185.45,494.8,362.85,756.6,423.2,558.45,2964.25,2157.15,1352,158.2
2020-07-03,10607.35,1787.9,184.7,487.2,361,762.7,428.45,581.45,2931.5,2199.65,1353.8,160
2020-07-06,10763.65,1851.8,188.05,495.9,361.85,764,434,576.6,3108.8,2263.2,1367.9,164.2
2020-07-07,10799.65,1823.45,188.6,526.3,376.05,794.15,447.35,567.15,3351.95,2269.9,1368.25,168.15
2020-07-08,10705.75,1798,191.9,552.6,368.95,774.7,444.15,561.3,3208.05,2218.9,1352.75,163
2020-07-09,10813.45,1824.25,199.1,556.55,370.35,781.7,453.75,568.65,3330,2204.35,1368.15,162.75
2020-07-10,10768.05,1878.05,195.6,539.25,360.35,781.85,439.6,574.7,3314.15,2222.35,1349.35,159.7
2020-07-13,10802.7,1935,192.7,539.65,353.6,797.05,440.05,586.8,3234.6,2220,1335.55,156.05
2020-07-14,10607.35,1917,186.05,510.8,345.55,783.25,417.7,589.35,3190.95,2171.95,1298.3,149.75
2020-07-15,10618.2,1844,183.8,503.55,345.8,830.95,426.65,563.6,3149.25,2233.9,1290,147.75
2020-07-16,10739.95,1843.4,186.25,518.6,344.65,911,434,562.75,3204.8,2234.75,1322.65,148.9
2020-07-17,10901.7,1911.7,188.2,520.8,353.8,903.15,433.1,566.75,3301.3,2200.75,1327.45,151.6
2020-07-20,11022.2,1919.9,190.75,528.75,363,934.3,434,575.75,3441.5,2207.9,1319.05,160.7
2020-07-21,11162.25,1971.55,194.4,523.5,378.8,936.75,446.2,567.75,3292.45,2225.05,1359,167.3
2020-07-22,11132.6,2004,192,513.55,381.1,917.9,478.95,569.15,3253,2190.95,1342.35,169.4
