ticker,formation_date,option_contracts_traded,summed_contract_open_interest,active_option_rows,passes_inception_liquidity_check
RELIANCE,2020-01-29,100477,23891500,96,True
SBIN,2020-01-29,59737,97548000,105,True
INDUSINDBK,2020-01-29,31129,12658400,130,True
ICICIBANK,2020-01-29,39832,30490625,104,True
INFY,2020-01-29,18222,12759600,82,True
AXISBANK,2020-01-29,19834,13586400,73,True
BHARTIARTL,2020-01-29,18767,20733051,98,True
BAJFINANCE,2020-01-29,89825,3072500,66,True
TCS,2020-01-29,24200,4558250,81,True
KOTAKBANK,2020-01-29,13770,5389200,55,True
ADANIENT,2020-01-29,2624,7084000,44,True
