turnover_rank,ticker,formation_start,formation_end,formation_sessions,average_daily_option_turnover_inr_crore,average_daily_open_interest_units,inferred_lot_size,average_daily_open_interest_contracts,open_interest_rank
1,RELIANCE,2020-01-01,2020-01-28,20,4862.7,19462100.0,500,38924.2,1
2,SBIN,2020-01-01,2020-01-28,20,4466.73,86171100.0,3000,28723.7,2
3,INDUSINDBK,2020-01-01,2020-01-28,20,2566.69,9036420.0,400,22591.05,3
4,ICICIBANK,2020-01-01,2020-01-28,20,2126.44,25634743.75,1375,18643.45,5
5,INFY,2020-01-01,2020-01-28,20,2064.53,16806420.0,1200,14005.35,10
6,AXISBANK,2020-01-01,2020-01-28,20,2026.78,14469300.0,1200,12057.75,13
7,BHARTIARTL,2020-01-01,2020-01-28,20,1618.37,15956545.5,1851,8620.5,19
8,BAJFINANCE,2020-01-01,2020-01-28,20,1606.77,2384812.5,250,9539.25,18
9,TCS,2020-01-01,2020-01-28,20,1580.28,5095925.0,250,20383.7,4
10,KOTAKBANK,2020-01-01,2020-01-28,20,1574.06,5134980.0,400,12837.45,11
11,MARUTI,2020-01-01,2020-01-28,20,1554.59,1123435.0,100,11234.35,14
12,HDFCBANK,2020-01-01,2020-01-28,20,1448.95,8820700.0,500,17641.4,6
13,TATASTEEL,2020-01-01,2020-01-28,20,1392.11,18215325.0,1500,12143.55,12
14,TATAMOTORS,2020-01-01,2020-01-28,20,1362.69,41656465.0,4300,9687.55,17
15,LT,2020-01-01,2020-01-28,20,1112.47,6169275.0,375,16451.4,7
