cash,date,equity,future_expiry,future_mark,future_qty,margin_headroom,margin_required,option_expiry,option_mark,option_qty,option_strike,option_type,recovery_basis,spot
20005158.73015873,2020-01-01,20005158.73015873,,0,0,20005158.73015873,0.0,,0,0,,,0.0,12182.5
20028780.39327308,2020-01-02,20010236.64327308,,0,0,105030.39327308163,19923750.0,2020-01-30,10.75,1725,11550.0,put,0.0,12282.2
20033946.54694595,2020-01-03,20027650.29694595,,0,0,110196.54694594815,19923750.0,2020-01-30,3.65,1725,11550.0,put,0.0,12226.65
20039114.033158455,2020-01-06,19989865.283158455,,0,0,115364.03315845504,19923750.0,2020-01-30,28.55,1725,11550.0,put,0.0,11993.05
20044282.85225431,2020-01-07,19990117.85225431,,0,0,120532.85225430876,19923750.0,2020-01-30,31.4,1725,11550.0,put,0.0,12052.95
20049453.004577313,2020-01-08,19968723.004577313,,0,0,125703.00457731262,19923750.0,2020-01-30,46.8,1725,11550.0,put,0.0,12025.35
20054624.490471352,2020-01-09,20023660.740471352,,0,0,130874.49047135189,19923750.0,2020-01-30,17.95,1725,11550.0,put,0.0,12215.9
20059797.3102804,2020-01-10,20049533.5602804,,0,0,136047.31028040126,19923750.0,2020-01-30,5.95,1725,11550.0,put,0.0,12256.8
20064971.46434853,2020-01-13,20042115.21434853,,0,0,141221.46434852853,19923750.0,2020-01-30,13.25,1725,11550.0,put,0.0,12329.55
20070146.953019887,2020-01-14,20068249.453019887,,0,0,146396.9530198872,19923750.0,2020-01-30,1.1,1725,11550.0,put,0.0,12362.3
20075323.77663872,2020-01-15,20066440.02663872,,0,0,151573.77663872018,19923750.0,2020-01-30,5.15,1725,11550.0,put,0.0,12343.3
20080501.93554936,2020-01-16,20069375.68554936,,0,0,156751.93554935977,19923750.0,2020-01-30,6.45,1725,11550.0,put,0.0,12355.5
20085681.430096228,2020-01-17,20076452.680096228,,0,0,161931.43009622768,19923750.0,2020-01-30,5.35,1725,11550.0,put,0.0,12352.35
20090862.26062383,2020-01-20,20079994.76062383,,0,0,167112.2606238313,19923750.0,2020-01-30,6.3,1725,11550.0,put,0.0,12224.55
20096044.42747677,2020-01-21,20087764.42747677,,0,0,172294.42747677118,19923750.0,2020-01-30,4.8,1725,11550.0,put,0.0,12169.85
20101227.93099973,2020-01-22,20090964.18099973,,0,0,177477.93099972978,19923750.0,2020-01-30,5.95,1725,11550.0,put,0.0,12106.9
20106412.771537486,2020-01-23,20100720.271537486,,0,0,182662.77153748646,19923750.0,2020-01-30,3.3,1725,11550.0,put,0.0,12180.35
20111598.949434906,2020-01-24,20107976.449434906,,0,0,187848.94943490624,19923750.0,2020-01-30,2.1,1725,11550.0,put,0.0,12248.25
20116786.465036944,2020-01-27,20112991.465036944,,0,0,193036.46503694355,19923750.0,2020-01-30,2.2,1725,11550.0,put,0.0,12119.0
20121975.31868864,2020-01-28,20118611.56868864,,0,0,198225.3186886385,19923750.0,2020-01-30,1.95,1725,11550.0,put,0.0,12055.8
20127165.510735124,2020-01-29,20126130.510735124,,0,0,203415.51073512435,19923750.0,2020-01-30,0.6,1725,11550.0,put,0.0,12129.5
20132357.041521624,2020-01-30,20132357.041521624,,0,0,20132357.041521624,0.0,,0,0,,,0.0,12035.8
20221440.553752873,2020-01-31,20137260.553752873,,0,0,556440.5537528731,19665000.0,2020-02-27,48.8,1725,11400.0,put,0.0,11962.1
20226656.401514754,2020-02-03,20097195.151514754,,0,0,561656.4015147537,19665000.0,2020-02-27,75.05,1725,11400.0,put,0.0,11707.9
20231873.59463419,2020-02-04,20187972.34463419,,0,0,566873.5946341902,19665000.0,2020-02-27,25.45,1725,11400.0,put,0.0,11979.65
20237092.133458205,2020-02-05,20207853.383458205,,0,0,572092.1334582046,19665000.0,2020-02-27,16.95,1725,11400.0,put,0.0,12089.15
20242312.018333897,2020-02-06,20222819.518333897,,0,0,577312.018333897,19665000.0,2020-02-27,11.3,1725,11400.0,put,0.0,12137.95
20247533.24960847,2020-02-07,20227609.49960847,,0,0,582533.2496084683,19665000.0,2020-02-27,11.55,1725,11400.0,put,0.0,12098.35
20252755.8276292,2020-02-10,20230934.5776292,,0,0,587755.8276292011,19665000.0,2020-02-27,12.65,1725,11400.0,put,0.0,12031.5
20257979.75274347,2020-02-11,20242196.00274347,,0,0,592979.7527434714,19665000.0,2020-02-27,9.15,1725,11400.0,put,0.0,12107.9
20263205.02529874,2020-02-12,20250181.27529874,,0,0,598205.0252987407,19665000.0,2020-02-27,7.55,1725,11400.0,put,0.0,12201.2
20268431.645642567,2020-02-13,20258771.645642567,,0,0,603431.6456425674,19665000.0,2020-02-27,5.6,1725,11400.0,put,0.0,12174.65
20273659.614122596,2020-02-14,20263050.864122596,,0,0,608659.6141225956,19665000.0,2020-02-27,6.15,1725,11400.0,put,0.0,12113.45
20278888.931086555,2020-02-17,20267590.181086555,,0,0,613888.9310865551,19665000.0,2020-02-27,6.55,1725,11400.0,put,0.0,12045.8
20284119.596882273,2020-02-18,20273597.096882273,,0,0,619119.5968822725,19665000.0,2020-02-27,6.1,1725,11400.0,put,0.0,11992.5
20289351.61185766,2020-02-19,20282796.61185766,,0,0,624351.6118576601,19665000.0,2020-02-27,3.8,1725,11400.0,put,0.0,12125.9
20294584.97636072,2020-02-20,20291479.97636072,,0,0,629584.9763607197,19665000.0,2020-02-27,1.8,1725,11400.0,put,0.0,12080.85
20299819.690739542,2020-02-24,20281879.690739542,,0,0,634819.6907395422,19665000.0,2020-02-27,10.4,1725,11400.0,put,0.0,11829.4
20305055.755342312,2020-02-25,20299277.005342312,,0,0,640055.7553423122,19665000.0,2020-02-27,3.35,1725,11400.0,put,0.0,11797.9
20310293.170517303,2020-02-26,20304686.920517303,,0,0,645293.170517303,19665000.0,2020-02-27,3.25,1725,11400.0,put,0.0,11678.5
20315531.936612874,2020-02-27,20315531.936612874,,0,0,20315531.936612874,0.0,,0,0,,,0.0,11633.3
20320772.05397748,2020-02-28,20320772.05397748,,0,0,20320772.05397748,0.0,,0,0,,,0.0,11201.75
20326013.522959653,2020-03-02,20326013.522959653,,0,0,20326013.522959653,0.0,,0,0,,,0.0,11132.75
20492814.766915083,2020-03-03,20330721.016915083,,0,0,617814.7669150829,19875000.0,2020-03-26,86.45,1875,10600.0,put,0.0,11303.3
20498100.61199385,2020-03-04,20338913.11199385,,0,0,623100.6119938493,19875000.0,2020-03-26,84.9,1875,10600.0,put,0.0,11251.0
20503387.820485037,2020-03-05,20369137.820485037,,0,0,628387.8204850368,19875000.0,2020-03-26,71.6,1875,10600.0,put,0.0,11269.0
20508676.39274032,2020-03-06,20237363.89274032,,0,0,633676.3927403204,19875000.0,2020-03-26,144.7,1875,10600.0,put,0.0,10989.45
20513966.329111464,2020-03-09,19826685.079111464,,0,0,638966.3291114643,19875000.0,2020-03-26,366.55,1875,10600.0,put,0.0,10451.45
20519257.629950322,2020-03-11,19868163.879950322,,0,0,644257.6299503222,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,10458.4
20524550.29560884,2020-03-12,19873456.54560884,,0,0,649550.2956088409,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,9590.15
20529844.326439057,2020-03-13,19878750.576439057,,0,0,654844.3264390565,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,9955.2
20535139.7227931,2020-03-16,19884045.9727931,,0,0,660139.7227930985,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,9197.4
20540436.485023186,2020-03-17,19889342.735023186,,0,0,665436.4850231856,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,8967.05
20545734.613481626,2020-03-18,19894640.863481626,,0,0,670734.6134816259,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,8468.8
20551034.108520817,2020-03-19,19899940.358520817,,0,0,676034.108520817,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,8263.45
20556334.970493253,2020-03-20,19905241.220493253,,0,0,681334.9704932533,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,8745.45
20561637.199751515,2020-03-23,19910543.449751515,,0,0,686637.1997515149,19875000.0,2020-03-26,347.25,1875,10600.0,put,0.0,7610.25
20566940.796648275,2020-03-24,15461034.546648275,,0,0,691940.7966482751,19875000.0,2020-03-26,2723.15,1875,10600.0,put,0.0,7801.05
20572245.7615363,2020-03-25,15466339.5115363,,0,0,697245.7615363002,19875000.0,2020-03-26,2723.15,1875,10600.0,put,0.0,8317.85
16904323.62936666,2020-03-26,16904323.62936666,,0,0,16904323.62936666,0.0,,0,0,,,0.0,8641.45
16908683.871572647,2020-03-27,16908683.871572647,,0,0,16908683.871572647,0.0,,0,0,,,0.0,8660.25
16913045.238444284,2020-03-30,16913045.238444284,,0,0,16913045.238444284,0.0,,0,0,,,0.0,8281.1
