date,nifty_tr,synthetic_nifty_wheel
2020-01-01,20000000.0,20000000.0
2020-01-02,20163620.9753504,19999913.0916375
2020-01-03,20072434.480544053,20012160.5916375
2020-01-06,19688948.185131393,19969208.0916375
2020-01-07,19787328.99607705,19964291.8416375
2020-01-08,19741952.16306181,19937726.8416375
2020-01-09,20054770.38725892,19987493.0916375
2020-01-10,20121952.432117533,20008193.0916375
2020-01-13,20241413.174255107,19995600.5916375
2020-01-14,20295130.73476194,20016559.3416375
2020-01-15,20263990.459050007,20009573.0916375
2020-01-16,20283959.073114723,20007330.5916375
2020-01-17,20278847.014329556,20009228.0916375
2020-01-20,20069018.642637264,20007589.3416375
2020-01-21,19979224.21875868,20010176.8416375
2020-01-22,19875824.933628045,20008193.0916375
2020-01-23,19998572.83484716,20012764.3416375
2020-01-24,20111506.051121756,20014834.3416375
2020-01-27,19899244.47982462,20014661.8416375
2020-01-28,19795494.252443284,20015093.0916375
2020-01-29,19916510.83855896,20017421.8416375
2020-01-30,19762622.661627915,20018456.8416375
2020-01-31,19641594.37743722,20018145.8511175
2020-02-03,19224207.06060714,19972864.6011175
2020-02-04,19670453.52851961,20058424.6011175
2020-02-05,19850264.639702216,20073087.1011175
2020-02-06,19930337.96323646,20082833.3511175
2020-02-07,19865378.55263227,20082402.1011175
2020-02-10,19755545.326238837,20080504.6011175
2020-02-11,19880995.482788328,20086542.1011175
2020-02-12,20034205.171368025,20089302.1011175
2020-02-13,19990653.23805641,20092665.8511175
2020-02-14,19890108.283231452,20091717.1011175
2020-02-17,19783690.89474481,20091027.1011175
2020-02-18,19696142.501270704,20091803.3511175
2020-02-19,19915282.540681515,20095770.8511175
2020-02-20,19841292.216159366,20099220.8511175
2020-02-24,19428303.375538036,20084385.8511175
2020-02-25,19376586.185860183,20096547.1011175
2020-02-26,19180432.863870084,20096719.6011175
2020-02-27,19106243.67207254,20102325.8511175
2020-02-28,18397469.004487965,20100912.2068775
2020-03-02,18286594.649417464,20028372.2068775
2020-03-03,18575349.933291726,20179572.2068775
2020-03-04,18489427.572245847,20173002.2068775
2020-03-05,18521807.843910243,20201262.2068775
2020-03-06,18062389.343521576,19932072.2068775
2020-03-09,17178108.456362963,19279122.2068775
2020-03-11,17189514.079510644,19336362.2068775
2020-03-12,15762430.81319753,17889252.2068775
2020-03-13,16362460.175365841,18491262.2068775
2020-03-16,15123481.955426823,16959372.2068775
2020-03-17,14744733.380398586,16782522.2068775
2020-03-18,13925411.903844161,15885222.2068775
2020-03-19,13594239.399935542,15512892.2068775
2020-03-20,14387158.32116246,16377252.2068775
2020-03-23,12529117.970992282,16377252.2068775
2020-03-24,12848171.2691768,16377252.2068775
2020-03-25,13699276.415569432,15593172.2068775
2020-03-26,14233223.351931322,16172682.2068775
2020-03-27,14264188.156517904,16168899.18253422
2020-03-30,13639674.723325903,15518389.606854219
2020-03-31,14161291.888613267,16136329.60685422
2020-04-01,13594742.417161543,15507139.606854219
2020-04-03,13314772.387629753,15203749.60685422
2020-04-07,14481538.390450157,16620529.60685422
2020-04-08,14409981.26553285,16397329.606854219
2020-04-09,15008127.237622412,17001319.606854223
2020-04-13,14813635.042285616,16867759.606854223
2020-04-15,14700795.410611205,16727719.60685422
2020-04-16,14811903.727182172,16919509.606854223
2020-04-17,15263145.273129579,17416039.60685422
2020-04-20,15255050.20521348,17328919.60685422
2020-04-21,14793280.391745135,16809799.60685422
2020-04-22,15132314.002069388,17199859.606854215
2020-04-23,15340820.491284056,17397319.606854215
2020-04-24,15078105.12241158,17112469.606854215
2020-04-27,15288787.453580575,17395519.606854215
2020-04-28,15451156.734903488,17580469.606854215
2020-04-29,15736847.123121653,17852989.606854215
2020-04-30,16241817.927650914,18403036.060357314
2020-05-04,15308837.954170449,17422031.790557314
2020-05-05,15165372.762085134,17287841.790557314
2020-05-06,15272995.052299168,17420681.790557314
2020-05-07,15154633.929213777,17285771.790557314
2020-05-08,15240977.420960493,17346701.790557314
2020-05-11,15220774.845395314,17327711.790557314
2020-05-12,15150516.206805589,17304671.790557314
2020-05-13,15458514.82409312,17624621.79055731
2020-05-14,15061868.194279289,17179841.79055731
2020-05-15,15052100.301634863,17168591.79055731
2020-05-18,14535525.006682524,16609781.79055731
2020-05-19,14627530.366740499,16716251.79055731
2020-05-20,14936336.151204636,17045291.79055731
2020-05-21,15001751.786734734,17062031.79055731
2020-05-22,14891345.354665162,16977161.790557306
2020-05-26,14874558.617006777,16988681.790557306
2020-05-27,15345523.117443407,17484671.790557306
2020-05-28,15634067.83596725,17800657.268336445
2020-05-29,15796437.117290163,17919672.635076445
2020-06-01,16201833.907221396,18430962.635076445
2020-06-02,16453997.612422885,18728322.635076445
2020-06-03,16592491.122623315,18914262.63507644
2020-06-04,16538960.731316857,18829752.63507644
2020-06-05,16725381.2548876,19047642.63507644
2020-06-08,16767084.892345538,19074552.63507644
2020-06-09,16567866.674699344,18859452.63507644
2020-06-10,16682519.50800236,19016592.63507644
2020-06-11,16330196.884451678,18632742.635076437
2020-06-12,16447130.84238423,18739842.63507644
2020-06-15,16184602.642712127,18492972.63507644
2020-06-16,16349966.631240994,18645072.63507644
2020-06-17,16295827.940033326,18570102.635076437
2020-06-18,16643015.108648794,18960702.635076437
2020-06-19,16898887.10363266,19256532.635076437
2020-06-22,17009082.97035181,19353012.63507644
2020-06-23,17272628.90255094,19675932.63507644
2020-06-24,16999315.077707388,19368672.635076437
2020-06-25,16972280.82632862,19348950.643339776
2020-06-26,17127455.791512225,19478450.959859777
2020-06-29,17011059.945030745,19413200.959859777
2020-06-30,16994004.151646823,19389620.959859777
2020-07-01,17205107.613516655,19649450.959859777
2020-07-02,17413824.66808174,19839440.95985978
2020-07-03,17505689.65123944,19895060.95985978
2020-07-06,17764439.37267903,20121050.95985978
2020-07-07,17823865.59379721,20138060.95985978
2020-07-08,17668877.797813978,20058320.95985978
2020-07-09,17860843.20894575,20226710.95985978
2020-07-10,17785905.340346716,20180990.95985978
2020-07-13,17844348.92316295,20243540.95985978
2020-07-14,17521645.825571172,20020250.959859785
2020-07-15,17539532.182281744,20057960.959859785
2020-07-16,17743628.49721264,20179280.959859785
2020-07-17,18010871.021119118,20381150.95985978
2020-07-20,18209878.673414893,20469080.959859785
2020-07-21,18441325.08775018,20555120.95985978
2020-07-22,18392310.153402705,20534150.95985978
2020-07-23,18531482.151954483,20594450.95985978
2020-07-24,18496294.342284504,20595170.95985978
2020-07-27,18393339.584004752,20571230.95985978
2020-07-28,18672116.40988417,20635580.959859777
2020-07-29,18511256.18023926,20632070.95985978
2020-07-30,18349506.89689258,20636424.264267597
2020-07-31,18302036.108448174,20635795.1828326
2020-08-03,18002144.257151764,20579732.6828326
2020-08-04,18338768.064021222,20676745.1828326
2020-08-05,18353917.07117635,20697122.6828326
2020-08-06,18521585.5804848,20726177.6828326
2020-08-07,18544548.90175547,20743532.6828326
2020-08-10,18637338.032840002,20766737.6828326
2020-08-11,18723927.184162207,20781167.6828326
2020-08-12,18700577.826415773,20783800.1828326
2020-08-13,18695547.65415577,20790625.1828326
2020-08-14,18493685.671554316,20771222.6828326
2020-08-17,18607297.37618026,20791210.1828326
2020-08-18,18836076.629410245,20796865.1828326
2020-08-19,18875885.178714413,20796962.6828326
2020-08-20,18716756.26417295,20799400.1828326
2020-08-21,18814996.698218323,20806615.1828326
2020-08-24,18971961.468880486,20809832.6828326
2020-08-25,18981530.494249515,20810807.6828326
2020-08-26,19113964.401587896,20811002.6828326
2020-08-27,19129955.670144696,20813147.6828326
2020-08-28,19276099.721410338,20812843.3880201
2020-08-31,18845680.749004345,20681405.8880201
2020-09-01,18982630.1133017,20748812.1380201
2020-09-02,19093796.920247786,20775530.8880201
2020-09-03,19081888.279874105,20784624.6380201
2020-09-04,18761454.60883684,20699687.1380201
2020-09-07,18796537.135831613,20736718.3880201
2020-09-08,18734081.1132824,20711499.6380201
2020-09-09,18668946.231552865,20730062.1380201
2020-09-10,18952566.060491912,20798968.3880201
2020-09-11,18977693.525641885,20819030.8880201
2020-09-14,18938177.4282133,20824749.6380201
2020-09-15,19073524.15623247,20849405.8880201
2020-09-16,19210520.31282992,20868905.8880201
2020-09-17,19064095.507763717,20868624.6380201
2020-09-18,19045635.945377007,20872093.3880201
2020-09-21,18624493.546464458,20842093.3880201
2020-09-22,18464089.541745458,20849593.3880201
2020-09-23,18427942.48992357,20876874.6380201
2020-09-24,17887818.9699494,20530468.3880201
2020-09-25,18292899.911855,20525446.522387348
2020-09-28,18586416.312263735,20892107.516387347
2020-09-29,18577900.113646798,20894826.266387347
2020-09-30,18619498.468429524,20935045.016387347
2020-10-01,18899924.72288722,21200076.266387343
2020-10-05,19042968.784271702,21290545.016387343
2020-10-06,19306233.96267027,21441857.516387343
2020-10-07,19432795.43634697,21499607.516387343
2020-10-08,19591327.74906225,21548170.016387343
2020-10-09,19723083.16804928,21588857.516387343
2020-10-12,19750842.700079486,21622232.516387347
2020-10-13,19756726.83181619,21636388.766387347
2020-10-14,19822072.278896146,21690763.766387347
2020-10-15,19340708.189763837,21492576.266387347
2020-10-16,19476663.217684213,21572920.016387347
2020-10-19,19659749.789873324,21672857.516387347
2020-10-20,19699090.416176565,21675951.266387347
2020-10-21,19766740.3840361,21708951.26638735
2020-10-22,19700166.639078703,21716170.016387347
2020-10-23,19773209.41952397,21747763.766387347
2020-10-26,19503755.959438093,21706888.766387347
2020-10-27,19705360.584389035,21757326.266387347
2020-10-28,19445862.186147958,21732763.766387347
2020-10-29,19353821.73186491,21786550.494178846
2020-10-30,19306690.18759618,21785709.710603848
2020-11-02,19351049.288084403,21816129.710603848
2020-11-03,19590473.789585553,21881162.210603848
2020-11-04,19756469.474165678,21921137.210603848
2020-11-05,20107856.251714498,21976224.710603848
2020-11-06,20345455.853512023,21985194.710603848
2020-11-09,20673130.632988688,22004694.710603848
2020-11-10,20955229.71217471,22005767.210603848
2020-11-11,21151102.280364253,22005084.710603848
2020-11-12,21054324.105696786,22013079.710603848
2020-11-13,21102672.249767937,22016589.710603848
2020-11-17,21358614.433201943,22017272.210603848
2020-11-18,21464821.25633816,22020294.710603848
2020-11-19,21188524.42236368,22021074.710603848
2020-11-20,21333405.08152681,22021952.210603848
2020-11-23,21445297.169124335,22022732.210603848
2020-11-24,21658775.340223886,22022537.210603848
2020-11-25,21332328.858624663,22024097.210603848
2020-11-26,21545701.74704901,22025072.210603848
2020-11-27,21515731.27883941,22024614.580248848
2020-12-01,21748183.7276267,22052128.330248848
2020-12-02,21755962.947517168,22074812.080248848
2020-12-03,21789454.536308777,22091285.830248848
2020-12-04,21996206.314269952,22111554.580248848
2020-12-07,22157499.372690726,22116212.080248848
2020-12-08,22219159.926138353,22116643.330248848
2020-12-09,22445038.05676257,22124923.330248848
2020-12-10,22360823.614670087,22126820.830248848
2020-12-11,22419746.818562273,22127252.080248848
2020-12-14,22493245.82393344,22133289.580248848
2020-12-15,22509318.979015406,22137860.830248848
2020-12-16,22699880.621144384,22140879.580248848
2020-12-17,22801068.970095623,22142949.580248848
2020-12-18,22833963.95706104,22145968.330248848
2020-12-21,22116907.05236,22119575.830248848
2020-12-22,22345733.097890075,22129839.580248848
2020-12-23,22569400.292334888,22142173.330248848
2020-12-24,22815223.640873775,22145537.080248848
2020-12-28,23020922.59208286,22148642.080248848
2020-12-29,23119502.270303905,22150367.080248848
2020-12-30,23201412.191616807,22150453.330248848
2020-12-31,23201014.457066014,22151747.080248848
2021-01-01,23262043.314462386,22151340.147793848
2021-01-04,23451844.581714854,22179885.147793848
2021-01-05,23562414.78683475,22183432.647793848
2021-01-06,23474012.43388394,22181452.647793848
2021-01-07,23459284.55742965,22197705.147793848
2021-01-08,23807536.250872232,22216020.147793848
2021-01-11,24035730.60035106,22218577.647793848
2021-01-12,24166281.11761069,22225095.147793848
2021-01-13,24168632.430690367,22231860.147793848
2021-01-14,24222116.02969673,22236975.147793848
2021-01-15,23953422.944487367,22230045.147793848
2021-01-18,23700510.562484387,22229715.147793848
2021-01-19,24098514.169000916,22250752.647793848
2021-01-20,24303534.631858647,22257187.647793848
2021-01-21,24215038.694307655,22253062.647793848
2021-01-22,23853041.762712736,22258672.647793848
2021-01-25,23632334.181248803,22261230.147793848
2021-01-27,23183642.81565647,22261065.147793848
2021-01-28,22934766.269536514,22263622.647793848
2021-01-29,22631131.03423266,22262681.134148847
2021-02-01,23704324.134941973,22459608.634148847
2021-02-02,24312916.48802731,22486586.134148847
2021-02-03,24548784.77472139,22490793.634148847
2021-02-04,24724244.20199534,22501683.634148847
2021-02-05,24771714.990439747,22506138.634148847
2021-02-08,25089610.17919696,22511666.134148847
2021-02-09,25081164.16903016,22511501.134148847
2021-02-10,25076508.335170902,22516533.634148847
2021-02-11,25192974.370102525,22521813.634148847
2021-02-12,25176386.499719538,22531301.134148847
2021-02-15,25431252.460251402,22524948.634148847
2021-02-16,25429158.504822236,22523958.634148847
2021-02-17,25262952.254891694,22531466.134148847
2021-02-18,25113556.138769582,22528166.134148847
2021-02-19,24885642.54309132,22528991.134148847
2021-02-22,24394136.222913835,22529156.134148847
2021-02-23,24447514.53924499,22529568.634148847
2021-02-24,24903271.54215138,22530393.634148847
2021-02-25,25094991.293707665,22531548.634148847
2021-02-26,24150535.508629374,22529876.328198846
2021-03-01,24536805.945897575,22706201.328198846
2021-03-02,24798667.35529335,22807451.328198846
2021-03-03,25341446.338297796,22907801.328198846
2021-03-04,25067372.138577733,22836701.328198846
2021-03-05,24830263.855931185,22774301.328198846
2021-03-08,24864328.650398932,22821176.328198846
2021-03-09,25100758.444694128,22903676.328198846
2021-03-10,25227741.049071666,22940651.328198846
2021-03-12,24988597.30137107,22910576.328198846
2021-03-15,24824005.385793738,22920626.328198846
2021-03-16,24792268.508255623,22941251.328198846
2021-03-17,24477765.761255153,22907951.328198846
2021-03-18,24206054.57268979,22859951.328198846
2021-03-19,24515503.751280207,22933976.328198846
2021-03-22,24504718.126108754,22963001.328198846
2021-03-23,24637924.10639867,22996076.328198846
2021-03-24,24196614.226146013,22984601.328198846
2021-03-25,23824790.911531545,22975151.328198846
2021-03-26,24128203.883409962,22969837.683570348
2021-03-31,24433207.79349154,23184845.024920348
2021-04-01,24727028.343850873,23436995.024920348
2021-04-05,24345577.513492264,23156795.024920348
2021-04-06,24421568.20884339,23238170.024920348
2021-04-07,24647048.604916815,23405945.024920348
2021-04-08,24740949.05312856,23454395.024920348
2021-04-09,24676118.321349625,23436320.024920348
2021-04-12,23804401.166766003,22715420.024920348
2021-04-13,24127115.962432798,23025695.024920348
2021-04-15,24254648.37633643,23106545.024920348
2021-04-16,24315162.518431775,23188220.024920348
2021-04-19,23885316.75170192,22800320.024920348
2021-04-20,23780490.301418446,22804670.024920348
2021-04-22,23963073.85638156,22853195.024920348
2021-04-23,23855229.302742086,22757570.024920348
2021-04-26,24094197.57931733,22979795.024920348
2021-04-27,24373723.081998236,23218070.024920348
2021-04-28,24725530.990247898,23533295.024920344
2021-04-29,24783892.686538965,23582084.399535194
2021-04-30,24345016.005891148,23219661.243685193
2021-05-03,24350046.178151153,23224911.243685193
2021-05-04,24120986.17112061,23039811.243685193
2021-05-05,24322918.342172205,23235261.243685193
2021-05-06,24500927.949801218,23368836.243685193
2021-05-07,24664525.529001568,23515011.24368519
2021-05-10,24862854.692946,23686386.24368519
2021-05-11,24710463.86961793,23546661.24368519
2021-05-12,24453808.10360751,23302836.24368519
2021-05-14,24422726.318270694,23313786.243685193
2021-05-17,24830954.042357557,23668086.243685193
2021-05-18,25138648.509694483,23941836.243685193
2021-05-19,25008975.3480616,23825436.243685193
2021-05-20,24802504.32390098,23642511.243685193
2021-05-21,25250505.503066942,24047436.243685193
2021-05-24,25287763.87201604,24047511.243685193
2021-05-25,25313511.335142244,24073011.243685193
2021-05-26,25468288.565775055,24201711.243685193
2021-05-27,25528872.896320544,24242997.333960194
2021-05-28,25691675.006419316,24357870.103960194
2021-05-31,25973926.160580643,24529845.103960194
2021-06-01,25960660.54350426,24577245.103960194
2021-06-02,25962918.27198375,24581520.103960194
2021-06-03,26159071.593973853,24710370.103960194
2021-06-04,26125580.005182244,24700920.103960194
2021-06-07,26261289.37352714,24814695.103960194
2021-06-08,26242022.64396382,24802920.103960194
2021-06-09,26067428.874241598,24661920.103960194
2021-06-10,26260938.431276437,24789045.103960194
2021-06-11,26372444.482398193,24887820.103960194
2021-06-14,26399174.583826356,24915420.103960194
2021-06-15,26495028.610566985,24979770.103960194
