action,cash,contracts,cost,date,expiry,premium,price,qty,strike
SELL_PUT,20023615.57179623,23,86.90836250000001,2020-01-02,2020-01-30,10.75,12282.2,1725,11550.0
PUT_EXPIRED,20127165.510735124,23,0,2020-01-30,2020-01-30,10.75,12035.8,1725,11550.0
SELL_PUT,20216226.051001623,23,310.99052,2020-01-31,2020-02-27,48.8,11962.1,1725,11400.0
PUT_EXPIRED,20310293.170517303,23,0,2020-02-27,2020-02-27,48.8,11633.3,1725,11400.0
SELL_PUT,20487530.284897152,25,576.9880625000001,2020-03-03,2020-03-26,86.45,11303.3,1875,10600.0
SYNTHETIC_ASSIGNMENT,16899964.5115363,25,0,2020-03-26,2020-03-26,86.45,8641.45,1875,10600.0
BUY_FUTURE,16913636.06475885,25,3771.6655128125003,2020-04-01,2020-06-25,0,8280.25,1875,0
SELL_CALL,16762843.333919402,25,561.6250625000001,2020-04-03,2020-06-25,84.05,8083.8,1875,10500.0
CALL_EXPIRED,21110164.09328991,25,0,2020-06-25,2020-06-25,84.05,10288.9,1875,10500.0
ROLL_FUTURE,21099278.568564225,25,10885.5247256875,2020-06-25,2020-07-30,0,10245.65,1875,0
SELL_CALL,21455055.48917318,25,759.103625,2020-06-26,2020-07-30,114.9,10383.0,1875,10850.0
CLOSE_FUTURE,22810014.32525664,25,6786.823520562501,2020-07-30,2020-07-30,0,11222.45,1875,0
SYNTHETIC_CALLED_AWAY,22810014.32525664,25,0,2020-07-30,2020-07-30,114.9,11102.15,1875,10850.0
SELL_PUT,23006217.203767676,28,675.65693,2020-07-31,2020-08-27,90.95,11073.45,2100,10550.0
PUT_EXPIRED,23119228.048038077,28,0,2020-08-27,2020-08-27,90.95,11559.25,2100,10550.0
SELL_PUT,23216938.362796973,28,337.97819000000004,2020-08-28,2020-09-24,43.85,11647.6,2100,11000.0
SYNTHETIC_ASSIGNMENT,22922639.308834717,28,0,2020-09-24,2020-09-24,43.85,10805.55,2100,11000.0
BUY_FUTURE,22922914.31802289,28,5637.57634784,2020-09-25,2020-12-31,0,11073.6,2100,0
SELL_CALL,23609807.996203806,28,993.9782899999999,2020-09-28,2020-12-31,135.35,11227.55,2100,12000.0
CLOSE_FUTURE,25588455.218753044,28,9460.85340845,2020-12-31,2020-12-31,0,13981.75,2100,0
SYNTHETIC_CALLED_AWAY,25588455.218753044,28,0,2020-12-31,2020-12-31,135.35,13981.75,2100,12000.0
SELL_PUT,25722189.960473157,25,459.2050625,2021-01-01,2021-01-28,68.05,14018.5,1875,13300.0
PUT_EXPIRED,25841876.607778773,25,0,2021-01-28,2021-01-28,68.05,13817.55,1875,13300.0
SELL_PUT,26443861.60733451,26,2063.0638550000003,2021-01-29,2021-04-29,306.35,13634.6,1950,13000.0
PUT_EXPIRED,26842392.417983882,26,0,2021-04-29,2021-04-29,306.35,14894.9,1950,13000.0
SELL_PUT,27158171.82432384,25,1081.726625,2021-04-30,2021-05-27,165.3,14631.1,1875,14150.0
PUT_EXPIRED,27284540.167672437,25,0,2021-05-27,2021-05-27,165.3,15337.85,1875,14150.0
SELL_PUT,27376762.349683937,25,315.497,2021-05-28,2021-06-24,45.6,15435.65,1875,14550.0
PUT_EXPIRED,27511242.129611474,25,0,2021-06-24,2021-06-24,45.6,15790.45,1875,14550.0
SELL_PUT,27590248.260815382,36,270.02252,2021-06-25,2021-07-29,40.1,15860.35,1800,15000.0
PUT_EXPIRED,27754393.75328703,36,0,2021-07-29,2021-07-29,40.1,15778.45,1800,15000.0
SELL_PUT,27822462.784196645,37,232.34049499999995,2021-07-30,2021-08-26,33.05,15763.05,1850,15000.0
PUT_EXPIRED,27951922.106888175,37,0,2021-08-26,2021-08-26,33.05,16636.9,1850,15000.0
SELL_PUT,28019538.81164154,35,230.61642500000002,2021-08-27,2021-09-30,34.65,16705.2,1750,15800.0
PUT_EXPIRED,28186238.32639716,35,0,2021-09-30,2021-09-30,34.65,17618.15,1750,15800.0
SELL_PUT,28318374.652337935,33,451.433945,2021-10-01,2021-10-28,75.95,17532.05,1650,16750.0
PUT_EXPIRED,28450141.477965567,33,0,2021-10-28,2021-10-28,75.95,17857.25,1650,16750.0
SELL_PUT,28595418.591018695,33,496.21709,2021-10-29,2021-11-25,83.9,17671.65,1650,16950.0
PUT_EXPIRED,28721066.304520227,33,0,2021-11-25,2021-11-25,83.9,17536.25,1650,16950.0
SELL_PUT,29075676.427257027,34,1213.08881,2021-11-26,2021-12-30,204.95,17026.45,1700,16650.0
PUT_EXPIRED,29256203.62685156,34,0,2021-12-30,2021-12-30,204.95,17203.95,1700,16650.0
SELL_PUT,29346829.08492555,35,308.284925,2021-12-31,2022-01-27,47.65,17354.05,1750,16350.0
PUT_EXPIRED,29483381.360902946,35,0,2022-01-27,2022-01-27,47.65,17110.15,1750,16350.0
SELL_PUT,29692681.573593337,36,714.62774,2022-01-28,2022-02-24,112.45,17101.95,1800,16250.0
SYNTHETIC_ASSIGNMENT,29834847.582148034,36,0,2022-02-24,2022-02-24,112.45,16247.95,1800,16250.0
BUY_FUTURE,29835281.671969734,36,7261.40657846,2022-02-25,2022-03-31,0,16656.05,1800,0
SELL_CALL,30428240.840817504,36,1176.4395200000001,2022-02-28,2022-03-31,187.6,16793.9,1800,17500.0
CALL_EXPIRED,31800906.841941185,36,0,2022-03-31,2022-03-31,187.6,17464.75,1800,17500.0
ROLL_FUTURE,31783131.638125345,36,17775.20381584,2022-03-31,2022-04-28,0,17544.45,1800,0
SELL_CALL,32248160.34625137,36,549.32186,2022-04-01,2022-04-28,85.55,17670.45,1800,18350.0
CALL_EXPIRED,31545890.43628437,36,0,2022-04-28,2022-04-28,85.55,17245.05,1800,18350.0
ROLL_FUTURE,31528365.793140292,36,17524.64314408,2022-04-28,2022-05-26,0,17260.35,1800,0
SELL_CALL,31379012.52841392,36,255.5813,2022-04-29,2022-05-26,37.75,17102.55,1800,18150.0
CALL_EXPIRED,29780842.370946307,36,0,2022-05-26,2022-05-26,37.75,16170.15,1800,18150.0
ROLL_FUTURE,29764414.238032408,36,16428.132913899997,2022-05-26,2022-06-30,0,16168.1,1800,0
SELL_CALL,30259806.32484174,36,715.24226,2022-05-27,2022-06-30,112.55,16352.45,1800,17000.0
CALL_EXPIRED,29460409.46635805,36,0,2022-06-30,2022-06-30,112.55,15780.25,1800,17000.0
ROLL_FUTURE,29444391.04674613,36,16018.41961192,2022-06-30,2022-07-28,0,15744.35,1800,0
SELL_CALL,29585216.786531046,36,419.0436199999999,2022-07-01,2022-07-28,64.35,15752.05,1800,16600.0
CLOSE_FUTURE,31247211.601338107,36,9818.138817919998,2022-07-28,2022-07-28,0,16929.6,1800,0
SYNTHETIC_CALLED_AWAY,31247211.601338107,36,0,2022-07-28,2022-07-28,64.35,16929.6,1800,16600.0
SELL_PUT,31336006.144491307,38,300.25349,2022-07-29,2022-08-25,42.65,17158.25,1900,16100.0
PUT_EXPIRED,31473695.946436077,38,0,2022-08-25,2022-08-25,42.65,17522.45,1900,16100.0
SELL_PUT,31622187.105875358,37,504.555785,2022-08-26,2022-09-29,76.15,17558.9,1850,16650.0
PUT_EXPIRED,31810320.225463707,37,0,2022-09-29,2022-09-29,76.15,16818.1,1850,16650.0
SELL_PUT,31947636.790794007,39,465.97758500000003,2022-09-30,2022-10-27,66.45,17094.35,1950,16000.0
PUT_EXPIRED,32088014.08591083,39,0,2022-10-27,2022-10-27,66.45,17736.95,1950,16000.0
SELL_PUT,32190753.474870767,38,347.28134,2022-10-28,2022-11-24,49.9,17786.8,1900,16850.0
PUT_EXPIRED,32340538.674481276,38,0,2022-11-24,2022-11-24,49.9,18484.1,1900,16850.0
SELL_PUT,32402224.060391758,36,206.4197,2022-11-25,2022-12-29,29.75,18512.75,1800,17550.0
PUT_EXPIRED,32603405.373744573,36,0,2022-12-29,2022-12-29,29.75,18191.0,1800,17550.0
SELL_PUT,32696969.587693516,37,315.39458,2022-12-30,2023-01-25,46.2,18105.3,1850,17300.0
PUT_EXPIRED,32849110.236410372,37,0,2023-01-25,2023-01-25,46.2,17891.95,1850,17300.0
SELL_PUT,33071621.311063573,38,756.91013,2023-01-27,2023-02-23,113.05,17604.35,1900,17000.0
PUT_EXPIRED,33234075.30394086,38,0,2023-02-23,2023-02-23,113.05,17511.25,1900,17000.0
SELL_PUT,33319969.024729256,39,288.56054,2023-02-24,2023-03-29,39.8,17465.8,1950,16650.0
PUT_EXPIRED,33509559.593556367,39,0,2023-03-29,2023-03-29,39.8,17080.7,1950,16650.0
SELL_PUT,33566394.16302042,41,188.76932,2023-03-31,2023-04-27,23.6,17359.75,2050,16250.0
PUT_EXPIRED,33705190.4474449,41,0,2023-04-27,2023-04-27,23.6,17915.05,2050,16250.0
SELL_PUT,33744367.30008325,39,131.946485,2023-04-28,2023-05-25,15.7,18065.0,1950,17000.0
PUT_EXPIRED,33901381.54318629,39,0,2023-05-25,2023-05-25,15.7,18321.15,1950,17000.0
SELL_PUT,33952795.71870077,38,175.228455,2023-05-26,2023-06-29,22.55,18499.35,1900,17400.0
PUT_EXPIRED,34163604.33547836,38,0,2023-06-30,2023-06-29,22.55,19189.05,1900,17400.0
SELL_PUT,34209446.178564176,37,155.197715,2023-07-03,2023-07-27,20.1,19322.55,1850,18250.0
PUT_EXPIRED,34368624.457147226,37,0,2023-07-27,2023-07-27,20.1,19659.9,1850,18250.0
SELL_PUT,34415580.41337228,36,158.96675,2023-07-28,2023-08-31,21.25,19646.05,1800,18700.0
PUT_EXPIRED,34620332.55413767,36,0,2023-08-31,2023-08-31,21.25,19253.8,1800,18700.0
SELL_PUT,34656798.42192779,37,121.4798925,2023-09-01,2023-09-28,14.95,19435.3,1850,18300.0
PUT_EXPIRED,34818058.25306353,37,0,2023-09-28,2023-09-28,14.95,19523.55,1850,18300.0
SELL_PUT,34864898.45748995,37,158.1439325,2023-09-29,2023-10-26,20.55,19638.3,1850,18550.0
PUT_EXPIRED,35018094.143669635,37,0,2023-10-26,2023-10-26,20.55,18857.25,1850,18550.0
SELL_PUT,35071308.48970014,39,180.59888750000002,2023-10-27,2023-11-30,22.75,19047.25,1950,17900.0
PUT_EXPIRED,35270864.1771961,39,0,2023-11-30,2023-11-30,22.75,20133.15,1950,17900.0
SELL_PUT,35320922.66166387,36,169.15907,2023-12-01,2023-12-28,22.85,20267.9,1800,19150.0
PUT_EXPIRED,35485272.69638531,36,0,2023-12-28,2023-12-28,22.85,21778.7,1800,19150.0
SELL_PUT,35579101.22870779,34,324.41499999999996,2023-12-29,2024-01-25,50.0,21731.4,1700,20700.0
PUT_EXPIRED,35744652.58132415,34,0,2024-01-25,2024-01-25,50.0,21352.6,1700,20700.0
SELL_PUT,35824473.005563386,35,274.426625,2024-01-29,2024-02-29,40.5,21737.6,1750,20300.0
PUT_EXPIRED,36037607.21546416,35,0,2024-02-29,2024-02-29,40.5,21982.8,1750,20300.0
SELL_PUT,36089567.419263706,34,175.21076,2024-03-01,2024-03-28,25.2,22338.75,1700,20900.0
PUT_EXPIRED,36248144.277058475,34,0,2024-03-28,2024-03-28,25.2,22326.9,1700,20900.0
SELL_PUT,36283727.144162476,34,116.85265,2024-04-01,2024-04-25,15.5,22462.0,1700,21200.0
PUT_EXPIRED,36433759.53930816,34,0,2024-04-25,2024-04-25,15.5,22570.35,1700,21200.0
