action,adjustment_factor,basis_after,date,shares_after,spin_off_shares,spin_off_symbol,strike_after,ticker
RIGHTS,0.990610,0.0,2020-05-13,0,0,,1386.8500000000001,RELIANCE
EXPIRY_RESET,,2635.6,2023-07-19,750,0,,2660.0,RELIANCE
SPIN_OFF,,0.0,2023-07-20,0,0,JIOFIN,,RELIANCE
BONUS,2,0.0,2024-10-28,0.0,0,,1420.0,RELIANCE
SPLIT_BONUS,10,0.0,2025-06-16,0.0,0,,870.0,BAJFINANCE
BONUS,2,0.0,2025-08-26,0.0,0,,960.0,HDFCBANK
EXPIRY_RESET,,1053.9,2025-10-13,3300,0,,,TATAMOTORS
SPIN_OFF,,793.1500000000001,2025-10-14,3300,3300.0,TMCV,,TATAMOTORS
SYMBOL_CHANGE,,793.1500000000001,2025-10-24,3300,0,,,TATAMOTORS
RIGHTS,0.970366,3478.56428571,2025-11-17,1000,0,,,ADANIENT
SPLIT,5,0.0,2026-01-14,0.0,0,,408.0,KOTAKBANK
