cash,collateral,date,equity,margin_headroom,margin_proxy,option_expiry,option_mark,option_qty,option_strike,option_type,shares,spot,ticker
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,1479.85,RELIANCE
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,316.45,SBIN
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,1258.25,INDUSINDBK
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,526.6,ICICIBANK
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,789.7,INFY
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,735.25,AXISBANK
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,490.25,BHARTIARTL
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,4419.0,BAJFINANCE
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,2154.6,TCS
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,1640.45,KOTAKBANK
1818181.8181818181,1818181.8181818181,2020-01-29,1818181.8181818181,1818181.8181818181,0.0,,0,0,,,0,232.3,ADANIENT
1843023.038881818,1843023.038881818,2020-01-30,1818073.038881818,1563023.038881818,280000.0,2020-02-27,24.95,1000,1400.0,put,0,1443.75,RELIANCE
1868685.128381818,1868685.128381818,2020-01-30,1817985.128381818,1508685.128381818,360000.0,2020-02-27,8.45,6000,300.0,put,0,310.7,SBIN
1863602.5397818182,1863602.5397818182,2020-01-30,1818002.5397818182,1575602.5397818182,288000.0,2020-02-27,38.0,1200,1200.0,put,0,1231.5,INDUSINDBK
1833505.6425818182,1833505.6425818182,2020-01-30,1818105.6425818182,1558505.6425818182,275000.0,2020-02-27,5.6,2750,500.0,put,0,532.2,ICICIBANK
1834422.501701818,1834422.501701818,2020-01-30,1818102.501701818,1474422.501701818,360000.0,2020-02-27,6.8,2400,750.0,put,0,780.7,INFY
1840880.3789818182,1840880.3789818182,2020-01-30,1818080.3789818182,1504880.3789818182,336000.0,2020-02-27,9.5,2400,700.0,put,0,730.9,AXISBANK
1854867.363833218,1854867.363833218,2020-01-30,1816736.763833218,1510581.363833218,344286.0,2020-02-27,10.3,3702,465.0,put,0,489.8,BHARTIARTL
1833680.0451318182,1833680.0451318182,2020-01-30,1818105.0451318182,1623680.0451318182,210000.0,2020-02-27,62.3,250,4200.0,put,0,4364.3,BAJFINANCE
1830528.341906818,1830528.341906818,2020-01-30,1818115.841906818,1524528.341906818,306000.0,2020-02-27,16.55,750,2040.0,put,0,2137.85,TCS
1830715.2017818182,1830715.2017818182,2020-01-30,1818115.2017818182,1581115.2017818182,249600.0,2020-02-27,15.75,800,1560.0,put,0,1628.25,KOTAKBANK
1873169.7653818182,1873169.7653818182,2020-01-30,1817969.7653818182,1521169.7653818182,352000.0,2020-02-27,6.9,8000,220.0,put,0,231.5,ADANIENT
1843023.038881818,1843023.038881818,2020-01-31,1803473.038881818,1563023.038881818,280000.0,2020-02-27,39.55,1000,1400.0,put,0,1411.65,RELIANCE
1868685.128381818,1868685.128381818,2020-01-31,1832385.128381818,1508685.128381818,360000.0,2020-02-27,6.05,6000,300.0,put,0,318.45,SBIN
1863602.5397818182,1863602.5397818182,2020-01-31,1827722.5397818182,1575602.5397818182,288000.0,2020-02-27,29.9,1200,1200.0,put,0,1258.85,INDUSINDBK
1833505.6425818182,1833505.6425818182,2020-01-31,1814943.1425818182,1558505.6425818182,275000.0,2020-02-27,6.75,2750,500.0,put,0,525.65,ICICIBANK
1834422.501701818,1834422.501701818,2020-01-31,1815582.501701818,1474422.501701818,360000.0,2020-02-27,7.85,2400,750.0,put,0,775.95,INFY
1840880.3789818182,1840880.3789818182,2020-01-31,1816760.3789818182,1504880.3789818182,336000.0,2020-02-27,10.05,2400,700.0,put,0,729.3,AXISBANK
1854867.363833218,1854867.363833218,2020-01-31,1823585.4638332182,1510581.363833218,344286.0,2020-02-27,8.45,3702,465.0,put,0,496.45,BHARTIARTL
1833680.0451318182,1833680.0451318182,2020-01-31,1816117.5451318182,1623680.0451318182,210000.0,2020-02-27,70.25,250,4200.0,put,0,4365.9,BAJFINANCE
1830528.341906818,1830528.341906818,2020-01-31,1805365.841906818,1524528.341906818,306000.0,2020-02-27,33.55,750,2040.0,put,0,2079.05,TCS
1830715.2017818182,1830715.2017818182,2020-01-31,1822555.2017818182,1581115.2017818182,249600.0,2020-02-27,10.2,800,1560.0,put,0,1691.75,KOTAKBANK
1873169.7653818182,1873169.7653818182,2020-01-31,1811569.7653818182,1521169.7653818182,352000.0,2020-02-27,7.7,8000,220.0,put,0,229.45,ADANIENT
1843023.038881818,1843023.038881818,2020-02-03,1799123.038881818,1563023.038881818,280000.0,2020-02-27,43.9,1000,1400.0,put,0,1385.5,RELIANCE
1868685.128381818,1868685.128381818,2020-02-03,1799685.128381818,1508685.128381818,360000.0,2020-02-27,11.5,6000,300.0,put,0,298.1,SBIN
1863602.5397818182,1863602.5397818182,2020-02-03,1834862.5397818182,1575602.5397818182,288000.0,2020-02-27,23.95,1200,1200.0,put,0,1263.1,INDUSINDBK
1833505.6425818182,1833505.6425818182,2020-02-03,1814393.1425818182,1558505.6425818182,275000.0,2020-02-27,6.95,2750,500.0,put,0,515.55,ICICIBANK
1834422.501701818,1834422.501701818,2020-02-03,1811742.501701818,1474422.501701818,360000.0,2020-02-27,9.45,2400,750.0,put,0,767.4,INFY
1840880.3789818182,1840880.3789818182,2020-02-03,1805840.3789818182,1504880.3789818182,336000.0,2020-02-27,14.6,2400,700.0,put,0,708.95,AXISBANK
1854867.363833218,1854867.363833218,2020-02-03,1835246.763833218,1510581.363833218,344286.0,2020-02-27,5.3,3702,465.0,put,0,510.05,BHARTIARTL
1833680.0451318182,1833680.0451318182,2020-02-03,1820442.5451318182,1623680.0451318182,210000.0,2020-02-27,52.95,250,4200.0,put,0,4359.35,BAJFINANCE
1830528.341906818,1830528.341906818,2020-02-03,1813840.841906818,1524528.341906818,306000.0,2020-02-27,22.25,750,2040.0,put,0,2102.5,TCS
1830715.2017818182,1830715.2017818182,2020-02-03,1825515.2017818182,1581115.2017818182,249600.0,2020-02-27,6.5,800,1560.0,put,0,1676.25,KOTAKBANK
1873169.7653818182,1873169.7653818182,2020-02-03,1791169.7653818182,1521169.7653818182,352000.0,2020-02-27,10.25,8000,220.0,put,0,220.9,ADANIENT
1843023.038881818,1843023.038881818,2020-02-04,1819023.038881818,1563023.038881818,280000.0,2020-02-27,24.0,1000,1400.0,put,0,1426.4,RELIANCE
1868685.128381818,1868685.128381818,2020-02-04,1825185.128381818,1508685.128381818,360000.0,2020-02-27,7.25,6000,300.0,put,0,306.25,SBIN
1863602.5397818182,1863602.5397818182,2020-02-04,1841882.5397818182,1575602.5397818182,288000.0,2020-02-27,18.1,1200,1200.0,put,0,1272.65,INDUSINDBK
1833505.6425818182,1833505.6425818182,2020-02-04,1825393.1425818182,1558505.6425818182,275000.0,2020-02-27,2.95,2750,500.0,put,0,530.8,ICICIBANK
1834422.501701818,1834422.501701818,2020-02-04,1823382.501701818,1474422.501701818,360000.0,2020-02-27,4.6,2400,750.0,put,0,787.85,INFY
1840880.3789818182,1840880.3789818182,2020-02-04,1816280.3789818182,1504880.3789818182,336000.0,2020-02-27,10.25,2400,700.0,put,0,715.0,AXISBANK
1854867.363833218,1854867.363833218,2020-02-04,1844131.563833218,1510581.363833218,344286.0,2020-02-27,2.9,3702,465.0,put,0,518.9,BHARTIARTL
1833680.0451318182,1833680.0451318182,2020-02-04,1828155.0451318182,1623680.0451318182,210000.0,2020-02-27,22.1,250,4200.0,put,0,4519.25,BAJFINANCE
1830528.341906818,1830528.341906818,2020-02-04,1815490.841906818,1524528.341906818,306000.0,2020-02-27,20.05,750,2040.0,put,0,2107.75,TCS
1830715.2017818182,1830715.2017818182,2020-02-04,1827195.2017818182,1581115.2017818182,249600.0,2020-02-27,4.4,800,1560.0,put,0,1698.3,KOTAKBANK
1873169.7653818182,1873169.7653818182,2020-02-04,1808769.7653818182,1521169.7653818182,352000.0,2020-02-27,8.05,8000,220.0,put,0,225.45,ADANIENT
1843023.038881818,1843023.038881818,2020-02-05,1827523.038881818,1563023.038881818,280000.0,2020-02-27,15.5,1000,1400.0,put,0,1448.5,RELIANCE
1868685.128381818,1868685.128381818,2020-02-05,1838085.128381818,1508685.128381818,360000.0,2020-02-27,5.1,6000,300.0,put,0,311.0,SBIN
1863602.5397818182,1863602.5397818182,2020-02-05,1843442.5397818182,1575602.5397818182,288000.0,2020-02-27,16.8,1200,1200.0,put,0,1272.8,INDUSINDBK
1833505.6425818182,1833505.6425818182,2020-02-05,1827868.1425818182,1558505.6425818182,275000.0,2020-02-27,2.05,2750,500.0,put,0,539.1,ICICIBANK
1834422.501701818,1834422.501701818,2020-02-05,1823982.501701818,1474422.501701818,360000.0,2020-02-27,4.35,2400,750.0,put,0,784.55,INFY
1840880.3789818182,1840880.3789818182,2020-02-05,1822880.3789818182,1504880.3789818182,336000.0,2020-02-27,7.5,2400,700.0,put,0,724.05,AXISBANK
1854867.363833218,1854867.363833218,2020-02-05,1847833.563833218,1510581.363833218,344286.0,2020-02-27,1.9,3702,465.0,put,0,533.35,BHARTIARTL
1833680.0451318182,1833680.0451318182,2020-02-05,1829055.0451318182,1623680.0451318182,210000.0,2020-02-27,18.5,250,4200.0,put,0,4528.2,BAJFINANCE
1830528.341906818,1830528.341906818,2020-02-05,1821040.841906818,1524528.341906818,306000.0,2020-02-27,12.65,750,2040.0,put,0,2146.55,TCS
1830715.2017818182,1830715.2017818182,2020-02-05,1827355.2017818182,1581115.2017818182,249600.0,2020-02-27,4.2,800,1560.0,put,0,1689.75,KOTAKBANK
1873169.7653818182,1873169.7653818182,2020-02-05,1844769.7653818182,1521169.7653818182,352000.0,2020-02-27,3.55,8000,220.0,put,0,236.25,ADANIENT
1843023.038881818,1843023.038881818,2020-02-06,1831323.038881818,1563023.038881818,280000.0,2020-02-27,11.7,1000,1400.0,put,0,1457.8,RELIANCE
1868685.128381818,1868685.128381818,2020-02-06,1853085.128381818,1508685.128381818,360000.0,2020-02-27,2.6,6000,300.0,put,0,321.95,SBIN
1863602.5397818182,1863602.5397818182,2020-02-06,1855922.5397818182,1575602.5397818182,288000.0,2020-02-27,6.4,1200,1200.0,put,0,1334.25,INDUSINDBK
1833505.6425818182,1833505.6425818182,2020-02-06,1828830.6425818182,1558505.6425818182,275000.0,2020-02-27,1.7,2750,500.0,put,0,541.6,ICICIBANK
1834422.501701818,1834422.501701818,2020-02-06,1816782.501701818,1474422.501701818,360000.0,2020-02-27,7.35,2400,750.0,put,0,771.35,INFY
1840880.3789818182,1840880.3789818182,2020-02-06,1830680.3789818182,1504880.3789818182,336000.0,2020-02-27,4.25,2400,700.0,put,0,736.95,AXISBANK
1854867.363833218,1854867.363833218,2020-02-06,1853756.763833218,1510581.363833218,344286.0,2020-02-27,0.3,3702,465.0,put,0,546.8,BHARTIARTL
1833680.0451318182,1833680.0451318182,2020-02-06,1830317.5451318182,1623680.0451318182,210000.0,2020-02-27,13.45,250,4200.0,put,0,4666.35,BAJFINANCE
1830528.341906818,1830528.341906818,2020-02-06,1818753.341906818,1524528.341906818,306000.0,2020-02-27,15.7,750,2040.0,put,0,2128.35,TCS
1830715.2017818182,1830715.2017818182,2020-02-06,1825755.2017818182,1581115.2017818182,249600.0,2020-02-27,6.2,800,1560.0,put,0,1674.0,KOTAKBANK
1873169.7653818182,1873169.7653818182,2020-02-06,1847969.7653818182,1521169.7653818182,352000.0,2020-02-27,3.15,8000,220.0,put,0,236.5,ADANIENT
1843023.038881818,1843023.038881818,2020-02-07,1827123.038881818,1563023.038881818,280000.0,2020-02-27,15.9,1000,1400.0,put,0,1433.65,RELIANCE
1868685.128381818,1868685.128381818,2020-02-07,1851885.128381818,1508685.128381818,360000.0,2020-02-27,2.8,6000,300.0,put,0,320.55,SBIN
1863602.5397818182,1863602.5397818182,2020-02-07,1852202.5397818182,1575602.5397818182,288000.0,2020-02-27,9.5,1200,1200.0,put,0,1298.8,INDUSINDBK
1833505.6425818182,1833505.6425818182,2020-02-07,1828280.6425818182,1558505.6425818182,275000.0,2020-02-27,1.9,2750,500.0,put,0,536.45,ICICIBANK
1834422.501701818,1834422.501701818,2020-02-07,1822302.501701818,1474422.501701818,360000.0,2020-02-27,5.05,2400,750.0,put,0,777.3,INFY
1840880.3789818182,1840880.3789818182,2020-02-07,1833800.3789818182,1504880.3789818182,336000.0,2020-02-27,2.95,2400,700.0,put,0,748.15,AXISBANK
1854867.363833218,1854867.363833218,2020-02-07,1850795.1638332182,1510581.363833218,344286.0,2020-02-27,1.1,3702,465.0,put,0,539.45,BHARTIARTL
1833680.0451318182,1833680.0451318182,2020-02-07,1830717.5451318182,1623680.0451318182,210000.0,2020-02-27,11.85,250,4200.0,put,0,4654.3,BAJFINANCE
1830528.341906818,1830528.341906818,2020-02-07,1821490.841906818,1524528.341906818,306000.0,2020-02-27,12.05,750,2040.0,put,0,2136.55,TCS
1830715.2017818182,1830715.2017818182,2020-02-07,1826235.2017818182,1581115.2017818182,249600.0,2020-02-27,5.6,800,1560.0,put,0,1653.05,KOTAKBANK
1873169.7653818182,1873169.7653818182,2020-02-07,1853569.7653818182,1521169.7653818182,352000.0,2020-02-27,2.45,8000,220.0,put,0,239.5,ADANIENT
1843023.038881818,1843023.038881818,2020-02-10,1828223.038881818,1563023.038881818,280000.0,2020-02-27,14.8,1000,1400.0,put,0,1435.6,RELIANCE
1868685.128381818,1868685.128381818,2020-02-10,1852485.128381818,1508685.128381818,360000.0,2020-02-27,2.7,6000,300.0,put,0,318.5,SBIN
1863602.5397818182,1863602.5397818182,2020-02-10,1849262.5397818182,1575602.5397818182,288000.0,2020-02-27,11.95,1200,1200.0,put,0,1274.95,INDUSINDBK
1833505.6425818182,1833505.6425818182,2020-02-10,1829243.1425818182,1558505.6425818182,275000.0,2020-02-27,1.55,2750,500.0,put,0,533.95,ICICIBANK
1834422.501701818,1834422.501701818,2020-02-10,1821342.501701818,1474422.501701818,360000.0,2020-02-27,5.45,2400,750.0,put,0,773.2,INFY
1840880.3789818182,1840880.3789818182,2020-02-10,1833920.3789818182,1504880.3789818182,336000.0,2020-02-27,2.9,2400,700.0,put,0,741.1,AXISBANK
1854867.363833218,1854867.363833218,2020-02-10,1851535.563833218,1510581.363833218,344286.0,2020-02-27,0.9,3702,465.0,put,0,538.7,BHARTIARTL
1833680.0451318182,1833680.0451318182,2020-02-10,1831367.5451318182,1623680.0451318182,210000.0,2020-02-27,9.25,250,4200.0,put,0,4721.75,BAJFINANCE
1830528.341906818,1830528.341906818,2020-02-10,1824003.341906818,1524528.341906818,306000.0,2020-02-27,8.7,750,2040.0,put,0,2161.95,TCS
1830715.2017818182,1830715.2017818182,2020-02-10,1827795.2017818182,1581115.2017818182,249600.0,2020-02-27,3.65,800,1560.0,put,0,1669.3,KOTAKBANK
