ADANIENT,AXISBANK,BAJFINANCE,HDFCBANK,ICICIBANK,INFY,KOTAKBANK,LT,RELIANCE,SBIN,TATAMOTORS,TCS,date,nifty_bh,nifty_tr,universe_bh,wheel
1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,1666666.6666666667,2020-01-01,20000000.0,20000000.0,20000000.0,20000000.0
1669774.7866666669,1666625.6552666668,1666619.5527416668,1666627.8743666667,1666612.0846166667,1666608.0390266667,1666605.6492266667,1666629.6240416667,1666618.4858666668,1666610.2922666667,1666575.5377466667,1666577.5178666667,2020-01-02,20163677.40611533,20163620.9753504,20240165.9414363,20002485.099699996
1658574.7866666669,1661105.6552666668,1663607.0527416668,1661227.8743666667,1664274.5846166667,1668168.0390266667,1661925.6492266667,1665279.6240416667,1665668.4858666668,1661810.2922666667,1663565.5377466667,1670777.5178666667,2020-01-03,20072481.01785348,20072434.480544053,20117060.279078275,19965985.099699996
1633374.7866666669,1653965.6552666668,1647794.5527416668,1654077.8743666667,1655337.0846166667,1667568.0390266667,1660205.6492266667,1661342.1240416667,1658868.4858666668,1642460.2922666667,1653245.5377466667,1672427.5178666667,2020-01-06,19688980.0943977,19688948.185131393,19642933.561466273,19860667.599699996
1650574.7866666669,1656185.6552666668,1651032.0527416668,1661277.8743666667,1654099.5846166667,1663248.0390266667,1664805.6492266667,1662804.6240416667,1664218.4858666668,1643660.2922666667,1654105.5377466667,1673402.5178666667,2020-01-07,19787317.87399959,19787328.99607705,19722119.534585454,19899415.099699996
1640574.7866666669,1654985.6552666668,1654894.5527416668,1659727.8743666667,1655474.5846166667,1660428.0390266667,1662405.6492266667,1653410.8740416667,1661418.4858666668,1643660.2922666667,1651095.5377466667,1675840.0178666667,2020-01-08,19742006.977221426,19741952.16306181,19658908.722902212,19873916.349699996
1664174.7866666669,1663685.6552666668,1662232.0527416668,1664977.8743666667,1667987.0846166667,1664688.0390266667,1666085.6492266667,1662185.8740416667,1668368.4858666668,1659560.2922666667,1667865.5377466667,1675690.0178666667,2020-01-09,20054832.751898214,20054770.38725892,20069538.840740576,19987501.349699996
1665774.7866666669,1662785.6552666668,1663807.0527416668,1666727.8743666667,1666887.0846166667,1666668.0390266667,1670645.6492266667,1663929.6240416667,1668268.4858666668,1660460.2922666667,1673455.5377466667,1676402.5178666667,2020-01-10,20121978.247486148,20121952.432117533,20179014.456728578,20005812.599699996
1675374.7866666669,1662965.6552666668,1665907.0527416668,1667477.8743666667,1667299.5846166667,1674828.0390266667,1672525.6492266667,1666123.3740416667,1668268.4858666668,1661810.2922666667,1675605.5377466667,1674377.5178666667,2020-01-13,20241411.86127642,20241413.174255107,20284831.859446228,20032563.849699996
1679374.7866666669,1665845.6552666668,1668332.0527416668,1668477.8743666667,1667712.0846166667,1675368.0390266667,1672245.6492266667,1666179.6240416667,1666618.4858666668,1661810.2922666667,1676465.5377466667,1681840.0178666667,2020-01-14,20295177.508721527,20295130.73476194,20286092.82386176,20050270.099699996
