date,new_expiry,old_expiry,option_type,strike,ticker
2023-06-28,2023-06-28,2023-06-29,call,2640.0,RELIANCE
2023-06-28,2023-06-28,2023-06-29,call,615.0,SBIN
2023-06-28,2023-06-28,2023-06-29,put,1200.0,INDUSINDBK
2023-06-28,2023-06-28,2023-06-29,put,890.0,ICICIBANK
2023-06-28,2023-06-28,2023-06-29,call,970.0,AXISBANK
2023-06-28,2023-06-28,2023-06-29,call,870.0,BHARTIARTL
2023-06-28,2023-06-28,2023-06-29,put,6500.0,BAJFINANCE
2023-06-28,2023-06-28,2023-06-29,call,3460.0,TCS
2023-06-28,2023-06-28,2023-06-29,put,1840.0,KOTAKBANK
2023-07-19,2023-07-19,2023-07-27,call,2660.0,RELIANCE
