cash_interest,costs,dividends,ending_equity,open_option_liability,premium_received,reconciliation_error,rights_value,spinoff_value,starting_capital,stock_delivery_and_mark_pnl,ticker
0.0,-36607.45732486251,34250.0,2834049.4593418045,-0.0,1381618.5,0.0,0.0,0.0,1666666.6666666667,-211878.25,RELIANCE
0.0,-34528.7982615,81400.0,2641847.8684051675,-0.0,912707.5,-4.656612873077393e-10,0.0,0.0,1666666.6666666667,15602.5,HDFCBANK
0.0,-30117.887429999995,0.0,3161988.7792366673,-0.0,1376520.0,-4.656612873077393e-10,0.0,0.0,1666666.6666666667,148920.0,ICICIBANK
0.0,-55858.62103625,280875.0,2281184.295630417,-0.0,1414563.75,0.0,0.0,0.0,1666666.6666666667,-1025062.5,TCS
0.0,-17828.153879999998,210600.0,1723838.5127866673,-0.0,847920.0,-4.656612873077393e-10,0.0,0.0,1666666.6666666667,-983520.0,INFY
0.0,-49188.14580300001,107250.0,3393393.0208636676,-0.0,1797964.5,-4.656612873077393e-10,0.0,0.0,1666666.6666666667,-129299.99999999953,SBIN
0.0,-50199.66899874999,4900.0,3916530.747667915,-0.0,1618913.75,1.862645149230957e-09,0.0,0.0,1666666.6666666667,676250.0,AXISBANK
0.0,-59792.323029999985,720.0,3186014.3436366664,-0.0,1357920.0,0.0,0.0,0.0,1666666.6666666667,220500.0,KOTAKBANK
0.0,-40142.11490100001,92400.0,3428023.301765665,-0.0,1253358.75,1.3969838619232178e-09,0.0,0.0,1666666.6666666667,455739.99999999953,LT
0.0,-42066.49324424999,46800.0,2571570.1734224176,-0.0,1880005.0,-9.313225746154785e-10,0.0,1087185.0,1666666.6666666667,-2067020.0,TATAMOTORS
0.0,-73600.44121875,41000.0,4014816.225447917,-0.0,2092000.0,-4.656612873077393e-10,0.0,0.0,1666666.6666666667,288750.0,BAJFINANCE
0.0,-27806.236855,6100.0,3634578.644101667,-0.0,2359882.5,-4.656612873077393e-10,73735.71429,0.0,1666666.6666666667,-444000.0,ADANIENT
