action,cash,cost,date,expiry,lot_inferred,lot_size,open_interest,premium,qty,shares,strike,ticker,volume
SELL_PUT,1843023.038881818,108.7793,2020-01-30,2020-02-27,True,500,654000,24.95,1000,0,1400.0,RELIANCE,2732
SELL_PUT,1868685.128381818,196.6898,2020-01-30,2020-02-27,True,3000,2391000,8.45,6000,0,300.0,SBIN,1577
SELL_PUT,1863602.5397818182,179.2784,2020-01-30,2020-02-27,True,400,222000,38.0,1200,0,1200.0,INDUSINDBK,722
SELL_PUT,1833505.6425818182,76.1756,2020-01-30,2020-02-27,True,1375,651750,5.6,2750,0,500.0,ICICIBANK,667
SELL_PUT,1834422.501701818,79.31647999999998,2020-01-30,2020-02-27,True,1200,136800,6.8,2400,0,750.0,INFY,161
SELL_PUT,1840880.3789818182,101.4392,2020-01-30,2020-02-27,True,1200,214800,9.5,2400,0,700.0,AXISBANK,384
SELL_PUT,1854867.363833218,149.35434859999998,2020-01-30,2020-02-27,True,1851,18510,9.95,3702,0,465.0,BHARTIARTL,15
SELL_PUT,1833680.0451318182,76.77305,2020-01-30,2020-02-27,True,250,191750,62.3,250,0,4200.0,BAJFINANCE,1870
SELL_PUT,1830528.341906818,65.976275,2020-01-30,2020-02-27,True,250,6500,16.55,750,0,2040.0,TCS,25
SELL_PUT,1830715.2017818182,66.61640000000001,2020-01-30,2020-02-27,True,400,47600,15.75,800,0,1560.0,KOTAKBANK,171
SELL_PUT,1873169.7653818182,212.05280000000002,2020-01-30,2020-02-27,True,4000,124000,6.9,8000,0,220.0,ADANIENT,53
ASSIGNED,441334.3488818181,1688.69,2020-02-27,2020-02-27,,,,24.95,1000,1000,1400.0,RELIANCE,
PUT_EXPIRED,1868685.128381818,0.0,2020-02-27,2020-02-27,,,,8.45,6000,0,300.0,SBIN,
ASSIGNED,421866.2757818182,1736.2640000000001,2020-02-27,2020-02-27,,,,38.0,1200,1200,1200.0,INDUSINDBK,
PUT_EXPIRED,1833505.6425818182,0.0,2020-02-27,2020-02-27,,,,5.6,2750,0,500.0,ICICIBANK,
PUT_EXPIRED,1834422.501701818,0.0,2020-02-27,2020-02-27,,,,6.8,2400,0,750.0,INFY,
PUT_EXPIRED,1840880.3789818182,0.0,2020-02-27,2020-02-27,,,,9.5,2400,0,700.0,AXISBANK,
PUT_EXPIRED,1854867.363833218,0.0,2020-02-27,2020-02-27,,,,9.95,3702,0,465.0,BHARTIARTL,
PUT_EXPIRED,1833680.0451318182,0.0,2020-02-27,2020-02-27,,,,62.3,250,0,4200.0,BAJFINANCE,
PUT_EXPIRED,1830528.341906818,0.0,2020-02-27,2020-02-27,,,,16.55,750,0,2040.0,TCS,
PUT_EXPIRED,1830715.2017818182,0.0,2020-02-27,2020-02-27,,,,15.75,800,0,1560.0,KOTAKBANK,
PUT_EXPIRED,1873169.7653818182,0.0,2020-02-27,2020-02-27,,,,6.9,8000,0,220.0,ADANIENT,
